date,monthly_return,source
2016-07-01,0.219956,yahoo
2016-08-01,0.067802,yahoo
2016-09-01,-0.008685,yahoo
2016-10-01,0.00833,yahoo
2016-11-01,0.122347,yahoo
2016-12-01,-0.013706,yahoo
2017-01-01,-0.019557,yahoo
2017-02-01,0.046063,yahoo
2017-03-01,-0.001255,yahoo
2017-04-01,0.053888,yahoo
2017-05-01,-0.029082,yahoo
2017-06-01,0.101522,yahoo
2017-07-01,0.039006,yahoo
2017-08-01,-0.007937,yahoo
2017-09-01,0.032977,yahoo
2017-10-01,-0.037053,yahoo
2017-11-01,0.036413,yahoo
2017-12-01,0.023702,yahoo
2018-01-01,0.128675,yahoo
2018-02-01,-0.036489,yahoo
2018-03-01,-0.06048,yahoo
2018-04-01,0.000501,yahoo
2018-05-01,-0.036781,yahoo
2018-06-01,-0.031422,yahoo
2018-07-01,-0.051348,yahoo
2018-08-01,-0.015853,yahoo
2018-09-01,-0.036014,yahoo
2018-10-01,-0.179398,yahoo
2018-11-01,0.062109,yahoo
2018-12-01,-0.136264,yahoo
2019-01-01,0.124148,yahoo
2019-02-01,0.013681,yahoo
2019-03-01,-0.084319,yahoo
2019-04-01,0.028111,yahoo
2019-05-01,-0.183417,yahoo
2019-06-01,0.014661,yahoo
2019-07-01,0.036211,yahoo
2019-08-01,-0.116715,yahoo
2019-09-01,0.153576,yahoo
2019-10-01,0.116236,yahoo
2019-11-01,0.136673,yahoo
2019-12-01,0.053262,yahoo
2020-01-01,-0.043869,yahoo
2020-02-01,-0.099431,yahoo
2020-03-01,-0.217883,yahoo
2020-04-01,0.183405,yahoo
2020-05-01,-0.032995,yahoo
2020-06-01,0.042487,yahoo
2020-07-01,0.003777,yahoo
2020-08-01,0.067409,yahoo
2020-09-01,-0.128653,yahoo
2020-10-01,-0.007248,yahoo
2020-11-01,0.196604,yahoo
2020-12-01,0.032633,yahoo
2021-01-01,-0.038197,yahoo
2021-02-01,0.039571,yahoo
2021-03-01,0.154459,yahoo
2021-04-01,-0.000714,yahoo
2021-05-01,0.036093,yahoo
2021-06-01,-0.054035,yahoo
2021-07-01,0.059067,yahoo
2021-08-01,0.066215,yahoo
2021-09-01,-0.08815,yahoo
2021-10-01,0.163244,yahoo
2021-11-01,-0.09721,yahoo
2021-12-01,0.045296,yahoo
2022-01-01,0.016129,yahoo
2022-02-01,-0.097037,yahoo
2022-03-01,0.020977,yahoo
2022-04-01,-0.23129,yahoo
2022-05-01,0.082425,yahoo
2022-06-01,-0.149538,yahoo
2022-07-01,0.152311,yahoo
2022-08-01,-0.037866,yahoo
2022-09-01,-0.110315,yahoo
2022-10-01,0.216905,yahoo
2022-11-01,0.076622,yahoo
2022-12-01,-0.026359,yahoo
2023-01-01,0.177388,yahoo
2023-02-01,-0.029016,yahoo
2023-03-01,-0.146482,yahoo
2023-04-01,-0.045316,yahoo
2023-05-01,-0.058677,yahoo
2023-06-01,0.07586,yahoo
2023-07-01,-0.010112,yahoo
2023-08-01,-0.051077,yahoo
2023-09-01,-0.025895,yahoo
2023-10-01,-0.034797,yahoo
2023-11-01,0.126721,yahoo
2023-12-01,0.063719,yahoo
2024-01-01,-0.046346,yahoo
2024-02-01,-0.001895,yahoo
2024-03-01,0.048691,yahoo
2024-04-01,-0.062468,yahoo
2024-05-01,0.042764,yahoo
2024-06-01,-0.021034,yahoo
2024-07-01,0.148243,yahoo
2024-08-01,0.025068,yahoo
2024-09-01,0.015729,yahoo
2024-10-01,0.048943,yahoo
2024-11-01,0.06153,yahoo
2024-12-01,-0.003654,yahoo
2025-01-01,0.035354,yahoo
2025-02-01,-0.023519,yahoo
2025-03-01,-0.097753,yahoo
2025-04-01,-0.015972,yahoo
2025-05-01,0.092849,yahoo
2025-06-01,0.104487,yahoo
2025-07-01,0.050875,yahoo
2025-08-01,0.028814,yahoo
2025-09-01,0.009046,yahoo
2025-10-01,-0.003017,yahoo
2025-11-01,0.029051,yahoo
2025-12-01,0.083935,yahoo
2026-01-01,0.01434,yahoo
2026-02-01,-0.017118,yahoo
2026-03-01,-0.016016,yahoo
2026-04-01,0.207649,yahoo
2026-05-01,0.01832,yahoo
2026-06-01,0.089694,yahoo
2026-07-01,0.055366,yahoo
