date,monthly_return,source
2016-07-01,0.094228,yahoo
2016-08-01,0.016845,yahoo
2016-09-01,-0.006222,yahoo
2016-10-01,-0.074321,yahoo
2016-11-01,0.042077,yahoo
2016-12-01,-0.033212,yahoo
2017-01-01,0.081175,yahoo
2017-02-01,0.025403,yahoo
2017-03-01,0.044986,yahoo
2017-04-01,0.024686,yahoo
2017-05-01,0.010944,yahoo
2017-06-01,0.02245,yahoo
2017-07-01,-0.000284,yahoo
2017-08-01,0.023527,yahoo
2017-09-01,0.048403,yahoo
2017-10-01,0.07008,yahoo
2017-11-01,0.050015,yahoo
2017-12-01,0.000354,yahoo
2018-01-01,-0.02039,yahoo
2018-02-01,-0.042351,yahoo
2018-03-01,-0.037628,yahoo
2018-04-01,-0.075783,yahoo
2018-05-01,-0.016597,yahoo
2018-06-01,-0.046179,yahoo
2018-07-01,0.125442,yahoo
2018-08-01,-0.059811,yahoo
2018-09-01,0.042055,yahoo
2018-10-01,-0.204316,yahoo
2018-11-01,0.122983,yahoo
2018-12-01,-0.084906,yahoo
2019-01-01,0.055955,yahoo
2019-02-01,0.047374,yahoo
2019-03-01,0.028241,yahoo
2019-04-01,0.076595,yahoo
2019-05-01,-0.132196,yahoo
2019-06-01,0.136692,yahoo
2019-07-01,0.020607,yahoo
2019-08-01,-0.099803,yahoo
2019-09-01,0.086934,yahoo
2019-10-01,0.047919,yahoo
2019-11-01,0.042358,yahoo
2019-12-01,0.050716,yahoo
2020-01-01,-0.038675,yahoo
2020-02-01,-0.098098,yahoo
2020-03-01,-0.304106,yahoo
2020-04-01,0.102,yahoo
2020-05-01,0.138385,yahoo
2020-06-01,0.11104,yahoo
2020-07-01,0.100014,yahoo
2020-08-01,0.052048,yahoo
2020-09-01,0.00558,yahoo
2020-10-01,0.024661,yahoo
2020-11-01,0.108965,yahoo
2020-12-01,-0.031197,yahoo
2021-01-01,-0.028394,yahoo
2021-02-01,0.007781,yahoo
2021-03-01,0.142016,yahoo
2021-04-01,0.035559,yahoo
2021-05-01,0.048508,yahoo
2021-06-01,-0.054474,yahoo
2021-07-01,-0.038734,yahoo
2021-08-01,-0.019183,yahoo
2021-09-01,-0.092927,yahoo
2021-10-01,0.025212,yahoo
2021-11-01,-0.027653,yahoo
2021-12-01,0.079309,yahoo
2022-01-01,-0.074064,yahoo
2022-02-01,-0.068423,yahoo
2022-03-01,-0.140811,yahoo
2022-04-01,-0.140496,yahoo
2022-05-01,-0.012151,yahoo
2022-06-01,-0.116522,yahoo
2022-07-01,-0.07181,yahoo
2022-08-01,-0.094832,yahoo
2022-09-01,-0.146311,yahoo
2022-10-01,0.043611,yahoo
2022-11-01,0.041152,yahoo
2022-12-01,-0.080764,yahoo
2023-01-01,0.188898,yahoo
2023-02-01,-0.041429,yahoo
2023-03-01,-0.058755,yahoo
2023-04-01,0.071482,yahoo
2023-05-01,-0.131689,yahoo
2023-06-01,0.249967,yahoo
2023-07-01,0.059332,yahoo
2023-08-01,-0.04926,yahoo
2023-09-01,-0.114431,yahoo
2023-10-01,0.017588,yahoo
2023-11-01,0.068783,yahoo
2023-12-01,0.079208,yahoo
2024-01-01,-0.04893,yahoo
2024-02-01,-0.04298,yahoo
2024-03-01,0.096763,yahoo
2024-04-01,-0.06668,yahoo
2024-05-01,-0.04628,yahoo
2024-06-01,-0.083515,yahoo
2024-07-01,0.322068,yahoo
2024-08-01,-0.030865,yahoo
2024-09-01,0.075909,yahoo
2024-10-01,-0.156088,yahoo
2024-11-01,-0.037551,yahoo
2024-12-01,-0.102404,yahoo
2025-01-01,0.096899,yahoo
2025-02-01,-0.017486,yahoo
2025-03-01,-0.111522,yahoo
2025-04-01,-0.219303,yahoo
2025-05-01,0.090137,yahoo
2025-06-01,0.035458,yahoo
2025-07-01,-0.001476,yahoo
2025-08-01,0.098152,yahoo
2025-09-01,0.000538,yahoo
2025-10-01,-0.088928,yahoo
2025-11-01,0.056113,yahoo
2025-12-01,0.038591,yahoo
2026-01-01,0.058966,yahoo
2026-02-01,0.099542,yahoo
2026-03-01,-0.178402,yahoo
2026-04-01,0.099916,yahoo
2026-05-01,0.016121,yahoo
2026-06-01,0.185092,yahoo
2026-07-01,-0.051742,yahoo
