date,monthly_return,source
2016-07-01,0.102848,yahoo
2016-08-01,-0.001793,yahoo
2016-09-01,0.006109,yahoo
2016-10-01,0.021071,yahoo
2016-11-01,0.208814,yahoo
2016-12-01,0.049479,yahoo
2017-01-01,-0.012407,yahoo
2017-02-01,0.011725,yahoo
2017-03-01,-0.053532,yahoo
2017-04-01,-0.189504,yahoo
2017-05-01,-0.034173,yahoo
2017-06-01,0.110614,yahoo
2017-07-01,0.016767,yahoo
2017-08-01,0.015501,yahoo
2017-09-01,0.008444,yahoo
2017-10-01,0.050564,yahoo
2017-11-01,0.100245,yahoo
2017-12-01,0.075787,yahoo
2018-01-01,0.027713,yahoo
2018-02-01,-0.082913,yahoo
2018-03-01,-0.078593,yahoo
2018-04-01,-0.010737,yahoo
2018-05-01,0.044016,yahoo
2018-06-01,-0.036096,yahoo
2018-07-01,-0.133014,yahoo
2018-08-01,0.094333,yahoo
2018-09-01,-0.01863,yahoo
2018-10-01,-0.070785,yahoo
2018-11-01,-0.100416,yahoo
2018-12-01,-0.096998,yahoo
2019-01-01,0.280477,yahoo
2019-02-01,0.085553,yahoo
2019-03-01,-0.021772,yahoo
2019-04-01,0.086834,yahoo
2019-05-01,-0.029997,yahoo
2019-06-01,0.030925,yahoo
2019-07-01,0.034901,yahoo
2019-08-01,-0.106745,yahoo
2019-09-01,0.063651,yahoo
2019-10-01,0.037548,yahoo
2019-11-01,0.057676,yahoo
2019-12-01,-0.037423,yahoo
2020-01-01,-0.099972,yahoo
2020-02-01,-0.102129,yahoo
2020-03-01,-0.447079,yahoo
2020-04-01,0.229957,yahoo
2020-05-01,0.029308,yahoo
2020-06-01,0.087874,yahoo
2020-07-01,-0.001354,yahoo
2020-08-01,0.121103,yahoo
2020-09-01,0.054817,yahoo
2020-10-01,-0.043943,yahoo
2020-11-01,0.217826,yahoo
2020-12-01,0.139153,yahoo
2021-01-01,-0.030539,yahoo
2021-02-01,0.14948,yahoo
2021-03-01,0.051189,yahoo
2021-04-01,0.07575,yahoo
2021-05-01,0.083905,yahoo
2021-06-01,0.023413,yahoo
2021-07-01,-0.030915,yahoo
2021-08-01,0.05806,yahoo
2021-09-01,-0.017487,yahoo
2021-10-01,-0.049714,yahoo
2021-11-01,-0.035737,yahoo
2021-12-01,0.035722,yahoo
2022-01-01,-0.081914,yahoo
2022-02-01,0.004461,yahoo
2022-03-01,-0.186302,yahoo
2022-04-01,0.057455,yahoo
2022-05-01,0.006248,yahoo
2022-06-01,-0.25432,yahoo
2022-07-01,0.212165,yahoo
2022-08-01,-0.021804,yahoo
2022-09-01,-0.139237,yahoo
2022-10-01,0.26144,yahoo
2022-11-01,0.056805,yahoo
2022-12-01,-0.125599,yahoo
2023-01-01,0.117772,yahoo
2023-02-01,-0.02777,yahoo
2023-03-01,-0.185662,yahoo
2023-04-01,0.014787,yahoo
2023-05-01,0.049136,yahoo
2023-06-01,0.095607,yahoo
2023-07-01,0.018278,yahoo
2023-08-01,-0.065431,yahoo
2023-09-01,-0.052974,yahoo
2023-10-01,-0.082434,yahoo
2023-11-01,0.153654,yahoo
2023-12-01,0.180161,yahoo
2024-01-01,0.017806,yahoo
2024-02-01,0.062516,yahoo
2024-03-01,0.044068,yahoo
2024-04-01,0.019944,yahoo
2024-05-01,-0.004093,yahoo
2024-06-01,0.077397,yahoo
2024-07-01,0.076287,yahoo
2024-08-01,-0.010435,yahoo
2024-09-01,-0.007561,yahoo
2024-10-01,0.105453,yahoo
2024-11-01,0.224519,yahoo
2024-12-01,-0.037322,yahoo
2025-01-01,0.061231,yahoo
2025-02-01,-0.120325,yahoo
2025-03-01,-0.127554,yahoo
2025-04-01,-0.0187,yahoo
2025-05-01,0.109721,yahoo
2025-06-01,0.157676,yahoo
2025-07-01,0.043902,yahoo
2025-08-01,0.095737,yahoo
2025-09-01,-0.069295,yahoo
2025-10-01,0.046868,yahoo
2025-11-01,0.040065,yahoo
2025-12-01,0.078464,yahoo
2026-01-01,-0.12945,yahoo
2026-02-01,-0.048465,yahoo
2026-03-01,-0.015772,yahoo
2026-04-01,0.120259,yahoo
2026-05-01,-0.062467,yahoo
2026-06-01,0.06453,yahoo
2026-07-01,-0.047469,yahoo
