date,monthly_return,source
2016-07-01,-0.029625,yahoo
2016-08-01,-0.005332,yahoo
2016-09-01,0.006485,yahoo
2016-10-01,-0.009106,yahoo
2016-11-01,-0.014651,yahoo
2016-12-01,0.054109,yahoo
2017-01-01,0.031049,yahoo
2017-02-01,0.040719,yahoo
2017-03-01,0.024035,yahoo
2017-04-01,0.035853,yahoo
2017-05-01,0.048324,yahoo
2017-06-01,-0.029239,yahoo
2017-07-01,0.059951,yahoo
2017-08-01,-0.038953,yahoo
2017-09-01,0.004598,yahoo
2017-10-01,0.09048,yahoo
2017-11-01,0.007296,yahoo
2017-12-01,-0.007436,yahoo
2018-01-01,0.061612,yahoo
2018-02-01,-0.013505,yahoo
2018-03-01,-0.007647,yahoo
2018-04-01,0.052821,yahoo
2018-05-01,0.027151,yahoo
2018-06-01,-0.029652,yahoo
2018-07-01,-0.033223,yahoo
2018-08-01,0.037856,yahoo
2018-09-01,0.048693,yahoo
2018-10-01,-0.08701,yahoo
2018-11-01,0.081618,yahoo
2018-12-01,-0.106634,yahoo
2019-01-01,0.132823,yahoo
2019-02-01,0.061609,yahoo
2019-03-01,0.047796,yahoo
2019-04-01,-0.043591,yahoo
2019-05-01,-0.030014,yahoo
2019-06-01,0.121917,yahoo
2019-07-01,0.02043,yahoo
2019-08-01,0.051864,yahoo
2019-09-01,-0.019759,yahoo
2019-10-01,-0.000139,yahoo
2019-11-01,-0.052758,yahoo
2019-12-01,0.024797,yahoo
2020-01-01,0.00362,yahoo
2020-02-01,-0.095444,yahoo
2020-03-01,-0.126449,yahoo
2020-04-01,0.119767,yahoo
2020-05-01,0.049885,yahoo
2020-06-01,-0.079395,yahoo
2020-07-01,0.072757,yahoo
2020-08-01,0.025142,yahoo
2020-09-01,0.051524,yahoo
2020-10-01,-0.030523,yahoo
2020-11-01,0.155388,yahoo
2020-12-01,0.049871,yahoo
2021-01-01,-0.098066,yahoo
2021-02-01,0.098095,yahoo
2021-03-01,0.003667,yahoo
2021-04-01,0.078208,yahoo
2021-05-01,-0.028024,yahoo
2021-06-01,0.017472,yahoo
2021-07-01,0.04316,yahoo
2021-08-01,0.022736,yahoo
2021-09-01,-0.048286,yahoo
2021-10-01,0.008911,yahoo
2021-11-01,-0.110648,yahoo
2021-12-01,0.130119,yahoo
2022-01-01,-0.072433,yahoo
2022-02-01,0.061681,yahoo
2022-03-01,0.015189,yahoo
2022-04-01,-0.097587,yahoo
2022-05-01,-0.02802,yahoo
2022-06-01,-0.151684,yahoo
2022-07-01,0.079526,yahoo
2022-08-01,-0.04447,yahoo
2022-09-01,-0.012963,yahoo
2022-10-01,0.131826,yahoo
2022-11-01,0.020284,yahoo
2022-12-01,0.04532,yahoo
2023-01-01,0.03812,yahoo
2023-02-01,0.035735,yahoo
2023-03-01,0.085933,yahoo
2023-04-01,0.049672,yahoo
2023-05-01,-0.080327,yahoo
2023-06-01,0.107083,yahoo
2023-07-01,-0.071061,yahoo
2023-08-01,0.000494,yahoo
2023-09-01,-0.036255,yahoo
2023-10-01,-0.011161,yahoo
2023-11-01,0.096625,yahoo
2023-12-01,0.010563,yahoo
2024-01-01,0.120283,yahoo
2024-02-01,0.040509,yahoo
2024-03-01,0.02521,yahoo
2024-04-01,-0.059714,yahoo
2024-05-01,0.01364,yahoo
2024-06-01,-0.002463,yahoo
2024-07-01,-0.037619,yahoo
2024-08-01,0.100687,yahoo
2024-09-01,0.002331,yahoo
2024-10-01,-0.013785,yahoo
2024-11-01,0.100679,yahoo
2024-12-01,-0.081856,yahoo
2025-01-01,0.086766,yahoo
2025-02-01,-0.013034,yahoo
2025-03-01,-0.036096,yahoo
2025-04-01,0.004486,yahoo
2025-05-01,0.02332,yahoo
2025-06-01,0.033948,yahoo
2025-07-01,-0.00733,yahoo
2025-08-01,-0.003361,yahoo
2025-09-01,-0.055543,yahoo
2025-10-01,-0.03633,yahoo
2025-11-01,0.041938,yahoo
2025-12-01,-0.053101,yahoo
2026-01-01,0.05147,yahoo
2026-02-01,0.048436,yahoo
2026-03-01,-0.151938,yahoo
2026-04-01,-0.040963,yahoo
2026-05-01,-0.03186,yahoo
2026-06-01,0.031958,yahoo
2026-07-01,0.061505,yahoo
