date,monthly_return,source
2016-07-01,0.020694,yahoo
2016-08-01,0.001352,yahoo
2016-09-01,-0.054956,yahoo
2016-10-01,-0.01816,yahoo
2016-11-01,0.106609,yahoo
2016-12-01,0.039812,yahoo
2017-01-01,-0.052556,yahoo
2017-02-01,0.004956,yahoo
2017-03-01,-0.015175,yahoo
2017-04-01,0.018297,yahoo
2017-05-01,0.031965,yahoo
2017-06-01,-0.077529,yahoo
2017-07-01,0.0455,yahoo
2017-08-01,0.00095,yahoo
2017-09-01,0.024302,yahoo
2017-10-01,0.030955,yahoo
2017-11-01,0.037936,yahoo
2017-12-01,0.051966,yahoo
2018-01-01,0.035238,yahoo
2018-02-01,-0.051217,yahoo
2018-03-01,0.005197,yahoo
2018-04-01,0.043029,yahoo
2018-05-01,0.039814,yahoo
2018-06-01,0.050131,yahoo
2018-07-01,-0.015815,yahoo
2018-08-01,0.113227,yahoo
2018-09-01,-0.020984,yahoo
2018-10-01,-0.026212,yahoo
2018-11-01,-0.055096,yahoo
2018-12-01,-0.070326,yahoo
2019-01-01,0.018991,yahoo
2019-02-01,0.057948,yahoo
2019-03-01,-0.011695,yahoo
2019-04-01,0.054074,yahoo
2019-05-01,-0.022026,yahoo
2019-06-01,0.027608,yahoo
2019-07-01,-0.030402,yahoo
2019-08-01,0.084002,yahoo
2019-09-01,0.068209,yahoo
2019-10-01,0.005919,yahoo
2019-11-01,0.008514,yahoo
2019-12-01,0.061949,yahoo
2020-01-01,-0.039748,yahoo
2020-02-01,-0.18858,yahoo
2020-03-01,-0.315379,yahoo
2020-04-01,0.23318,yahoo
2020-05-01,-0.019726,yahoo
2020-06-01,-0.009065,yahoo
2020-07-01,-0.033114,yahoo
2020-08-01,0.137938,yahoo
2020-09-01,0.034586,yahoo
2020-10-01,-0.111058,yahoo
2020-11-01,0.288917,yahoo
2020-12-01,0.041661,yahoo
2021-01-01,-0.037032,yahoo
2021-02-01,0.11355,yahoo
2021-03-01,-0.011177,yahoo
2021-04-01,0.076073,yahoo
2021-05-01,-0.044022,yahoo
2021-06-01,-0.040123,yahoo
2021-07-01,-0.045659,yahoo
2021-08-01,0.07345,yahoo
2021-09-01,-0.014438,yahoo
2021-10-01,-0.020382,yahoo
2021-11-01,-0.089207,yahoo
2021-12-01,0.121502,yahoo
2022-01-01,-0.005092,yahoo
2022-02-01,0.114523,yahoo
2022-03-01,-0.062572,yahoo
2022-04-01,0.046908,yahoo
2022-05-01,-0.015208,yahoo
2022-06-01,0.006296,yahoo
2022-07-01,0.002243,yahoo
2022-08-01,-0.031567,yahoo
2022-09-01,-0.13999,yahoo
2022-10-01,0.224155,yahoo
2022-11-01,-0.000578,yahoo
2022-12-01,-0.116287,yahoo
2023-01-01,0.013211,yahoo
2023-02-01,-0.03731,yahoo
2023-03-01,0.035671,yahoo
2023-04-01,-0.006345,yahoo
2023-05-01,-0.088481,yahoo
2023-06-01,0.060758,yahoo
2023-07-01,0.028437,yahoo
2023-08-01,-0.087276,yahoo
2023-09-01,-0.051687,yahoo
2023-10-01,0.006662,yahoo
2023-11-01,0.085426,yahoo
2023-12-01,0.013302,yahoo
2024-01-01,0.106659,yahoo
2024-02-01,0.000494,yahoo
2024-03-01,0.002594,yahoo
2024-04-01,-0.084504,yahoo
2024-05-01,-0.020183,yahoo
2024-06-01,-0.019637,yahoo
2024-07-01,0.07368,yahoo
2024-08-01,0.017221,yahoo
2024-09-01,0.001154,yahoo
2024-10-01,-0.039841,yahoo
2024-11-01,0.028819,yahoo
2024-12-01,-0.00843,yahoo
2025-01-01,-0.046299,yahoo
2025-02-01,0.03593,yahoo
2025-03-01,-0.006619,yahoo
2025-04-01,-0.048507,yahoo
2025-05-01,0.022409,yahoo
2025-06-01,0.037534,yahoo
2025-07-01,0.050964,yahoo
2025-08-01,0.01093,yahoo
2025-09-01,0.023238,yahoo
2025-10-01,-0.097887,yahoo
2025-11-01,0.025848,yahoo
2025-12-01,-0.03294,yahoo
2026-01-01,0.137875,yahoo
2026-02-01,0.08718,yahoo
2026-03-01,-0.21753,yahoo
2026-04-01,0.047385,yahoo
2026-05-01,0.014724,yahoo
2026-06-01,0.102493,yahoo
2026-07-01,0.012264,yahoo
