date,monthly_return,source
2016-07-01,0.001851,yahoo
2016-08-01,-0.055671,yahoo
2016-09-01,-0.006605,yahoo
2016-10-01,-0.094066,yahoo
2016-11-01,0.050014,yahoo
2016-12-01,0.100958,yahoo
2017-01-01,-0.0087,yahoo
2017-02-01,-0.008776,yahoo
2017-03-01,-0.005743,yahoo
2017-04-01,-0.046209,yahoo
2017-05-01,-0.027757,yahoo
2017-06-01,-0.020763,yahoo
2017-07-01,0.03366,yahoo
2017-08-01,-0.039487,yahoo
2017-09-01,0.045649,yahoo
2017-10-01,-0.140924,yahoo
2017-11-01,0.081129,yahoo
2017-12-01,0.068719,yahoo
2018-01-01,-0.03678,yahoo
2018-02-01,-0.030708,yahoo
2018-03-01,-0.017906,yahoo
2018-04-01,-0.082749,yahoo
2018-05-01,-0.011621,yahoo
2018-06-01,-0.006497,yahoo
2018-07-01,-0.00436,yahoo
2018-08-01,-0.000938,yahoo
2018-09-01,0.051346,yahoo
2018-10-01,-0.086361,yahoo
2018-11-01,0.018253,yahoo
2018-12-01,-0.086428,yahoo
2019-01-01,0.053259,yahoo
2019-02-01,0.035263,yahoo
2019-03-01,0.007712,yahoo
2019-04-01,-0.012755,yahoo
2019-05-01,-0.012274,yahoo
2019-06-01,0.095814,yahoo
2019-07-01,0.016115,yahoo
2019-08-01,0.035536,yahoo
2019-09-01,0.073171,yahoo
2019-10-01,0.017178,yahoo
2019-11-01,-0.028839,yahoo
2019-12-01,0.045479,yahoo
2020-01-01,-0.037359,yahoo
2020-02-01,-0.063796,yahoo
2020-03-01,-0.172345,yahoo
2020-04-01,0.045283,yahoo
2020-05-01,0.012799,yahoo
2020-06-01,-0.020415,yahoo
2020-07-01,-0.021502,yahoo
2020-08-01,0.007776,yahoo
2020-09-01,-0.04361,yahoo
2020-10-01,-0.052262,yahoo
2020-11-01,0.064027,yahoo
2020-12-01,0.000348,yahoo
2021-01-01,-0.00452,yahoo
2021-02-01,-0.025847,yahoo
2021-03-01,0.085335,yahoo
2021-04-01,0.037661,yahoo
2021-05-01,-0.063037,yahoo
2021-06-01,-0.022086,yahoo
2021-07-01,-0.025365,yahoo
2021-08-01,-0.02246,yahoo
2021-09-01,-0.014953,yahoo
2021-10-01,-0.064791,yahoo
2021-11-01,-0.0962,yahoo
2021-12-01,0.077529,yahoo
2022-01-01,0.036585,yahoo
2022-02-01,-0.07098,yahoo
2022-03-01,-0.002533,yahoo
2022-04-01,0.056735,yahoo
2022-05-01,0.128844,yahoo
2022-06-01,-0.0155,yahoo
2022-07-01,-0.104008,yahoo
2022-08-01,-0.066028,yahoo
2022-09-01,-0.125428,yahoo
2022-10-01,0.188396,yahoo
2022-11-01,0.057597,yahoo
2022-12-01,-0.045125,yahoo
2023-01-01,0.106464,yahoo
2023-02-01,-0.071674,yahoo
2023-03-01,0.01798,yahoo
2023-04-01,-0.082078,yahoo
2023-05-01,-0.109791,yahoo
2023-06-01,0.013986,yahoo
2023-07-01,-0.089655,yahoo
2023-08-01,0.018595,yahoo
2023-09-01,0.015551,yahoo
2023-10-01,0.0253,yahoo
2023-11-01,0.075974,yahoo
2023-12-01,0.012674,yahoo
2024-01-01,0.054231,yahoo
2024-02-01,-0.042962,yahoo
2024-03-01,0.039575,yahoo
2024-04-01,-0.040341,yahoo
2024-05-01,0.078745,yahoo
2024-06-01,0.048847,yahoo
2024-07-01,0.007326,yahoo
2024-08-01,0.033766,yahoo
2024-09-01,0.105528,yahoo
2024-10-01,0.024545,yahoo
2024-11-01,0.027507,yahoo
2024-12-01,-0.016839,yahoo
2025-01-01,0.042161,yahoo
2025-02-01,0.155078,yahoo
2025-03-01,0.03174,yahoo
2025-04-01,-0.020509,yahoo
2025-05-01,0.00361,yahoo
2025-06-01,0.041007,yahoo
2025-07-01,-0.052868,yahoo
2025-08-01,0.068588,yahoo
2025-09-01,-0.035848,yahoo
2025-10-01,-0.123584,yahoo
2025-11-01,0.051313,yahoo
2025-12-01,-0.04535,yahoo
2026-01-01,0.055153,yahoo
2026-02-01,0.068676,yahoo
2026-03-01,0.034987,yahoo
2026-04-01,-0.098655,yahoo
2026-05-01,-0.050899,yahoo
2026-06-01,-0.165323,yahoo
2026-07-01,0.016425,yahoo
