date,monthly_return,source
2016-07-01,-0.119601,yahoo
2016-08-01,0.167924,yahoo
2016-09-01,0.037157,yahoo
2016-10-01,-0.029595,yahoo
2016-11-01,0.110754,yahoo
2016-12-01,0.135838,yahoo
2017-01-01,-0.237914,yahoo
2017-02-01,-0.135225,yahoo
2017-03-01,-0.015444,yahoo
2017-04-01,0.264706,yahoo
2017-05-01,-0.051163,yahoo
2017-06-01,0.238562,yahoo
2017-07-01,0.022427,yahoo
2017-08-01,0.012903,yahoo
2017-09-01,0.053503,yahoo
2017-10-01,0.016929,yahoo
2017-11-01,0.149822,yahoo
2017-12-01,0.021717,yahoo
2018-01-01,0.069838,yahoo
2018-02-01,0.0,yahoo
2018-03-01,0.02176,yahoo
2018-04-01,-0.041667,yahoo
2018-05-01,0.09372,yahoo
2018-06-01,-0.075972,yahoo
2018-07-01,-0.071702,yahoo
2018-08-01,0.032956,yahoo
2018-09-01,-0.043868,yahoo
2018-10-01,0.09489,yahoo
2018-11-01,-0.052381,yahoo
2018-12-01,-0.2,yahoo
2019-01-01,0.065327,yahoo
2019-02-01,0.069575,yahoo
2019-03-01,-0.109151,yahoo
2019-04-01,0.263614,yahoo
2019-05-01,-0.128306,yahoo
2019-06-01,0.002247,yahoo
2019-07-01,0.085202,yahoo
2019-08-01,-0.056818,yahoo
2019-09-01,0.084337,yahoo
2019-10-01,0.10101,yahoo
2019-11-01,0.017431,yahoo
2019-12-01,0.169522,yahoo
2020-01-01,-0.087895,yahoo
2020-02-01,0.028741,yahoo
2020-03-01,-0.501233,yahoo
2020-04-01,0.14827,yahoo
2020-05-01,0.262554,yahoo
2020-06-01,0.113636,yahoo
2020-07-01,-0.037755,yahoo
2020-08-01,0.007423,yahoo
2020-09-01,-0.090526,yahoo
2020-10-01,0.111111,yahoo
2020-11-01,0.229167,yahoo
2020-12-01,0.15678,yahoo
2021-01-01,0.228571,yahoo
2021-02-01,0.208706,yahoo
2021-03-01,0.0222,yahoo
2021-04-01,0.071911,yahoo
2021-05-01,0.0914,yahoo
2021-06-01,-0.050743,yahoo
2021-07-01,0.015645,yahoo
2021-08-01,0.055199,yahoo
2021-09-01,0.032036,yahoo
2021-10-01,0.200393,yahoo
2021-11-01,-0.074632,yahoo
2021-12-01,-0.104705,yahoo
2022-01-01,0.17819,yahoo
2022-02-01,-0.017438,yahoo
2022-03-01,-0.033106,yahoo
2022-04-01,-0.199082,yahoo
2022-05-01,-0.081974,yahoo
2022-06-01,-0.06289,yahoo
2022-07-01,0.260246,yahoo
2022-08-01,-0.035772,yahoo
2022-09-01,-0.073356,yahoo
2022-10-01,0.254777,yahoo
2022-11-01,0.086657,yahoo
2022-12-01,-0.053053,yahoo
2023-01-01,0.19556,yahoo
2023-02-01,0.019452,yahoo
2023-03-01,-0.194854,yahoo
2023-04-01,0.145781,yahoo
2023-05-01,-0.032905,yahoo
2023-06-01,0.058004,yahoo
2023-07-01,0.160796,yahoo
2023-08-01,-0.031398,yahoo
2023-09-01,-0.060202,yahoo
2023-10-01,0.033333,yahoo
2023-11-01,0.09425,yahoo
2023-12-01,-0.011535,yahoo
2024-01-01,0.131743,yahoo
2024-02-01,0.022915,yahoo
2024-03-01,-0.250448,yahoo
2024-04-01,-0.1052,yahoo
2024-05-01,0.12191,yahoo
2024-06-01,0.124144,yahoo
2024-07-01,0.372881,yahoo
2024-08-01,0.010802,yahoo
2024-09-01,0.020992,yahoo
2024-10-01,-0.060561,yahoo
2024-11-01,0.162555,yahoo
2024-12-01,-0.099264,yahoo
2025-01-01,0.160175,yahoo
2025-02-01,-0.085817,yahoo
2025-03-01,-0.053386,yahoo
2025-04-01,-0.08573,yahoo
2025-05-01,0.057752,yahoo
2025-06-01,0.114873,yahoo
2025-07-01,0.108654,yahoo
2025-08-01,0.207093,yahoo
2025-09-01,-0.017707,yahoo
2025-10-01,-0.12712,yahoo
2025-11-01,-0.019887,yahoo
2025-12-01,0.053847,yahoo
2026-01-01,-0.119668,yahoo
2026-02-01,-0.116925,yahoo
2026-03-01,0.023624,yahoo
2026-04-01,0.113531,yahoo
2026-05-01,-0.078055,yahoo
2026-06-01,0.135606,yahoo
2026-07-01,0.061622,yahoo
