date,monthly_return,source
2016-07-01,0.060033,yahoo
2016-08-01,0.020285,yahoo
2016-09-01,0.01378,yahoo
2016-10-01,-0.057623,yahoo
2016-11-01,-0.077186,yahoo
2016-12-01,-0.009824,yahoo
2017-01-01,-0.130784,yahoo
2017-02-01,0.174677,yahoo
2017-03-01,-0.13391,yahoo
2017-04-01,0.120685,yahoo
2017-05-01,0.086532,yahoo
2017-06-01,0.002947,yahoo
2017-07-01,0.049355,yahoo
2017-08-01,-0.076132,yahoo
2017-09-01,-0.01922,yahoo
2017-10-01,0.085468,yahoo
2017-11-01,0.022667,yahoo
2017-12-01,-0.032313,yahoo
2018-01-01,0.153995,yahoo
2018-02-01,-0.090246,yahoo
2018-03-01,0.064618,yahoo
2018-04-01,0.044406,yahoo
2018-05-01,0.042237,yahoo
2018-06-01,0.033013,yahoo
2018-07-01,0.08808,yahoo
2018-08-01,-0.068009,yahoo
2018-09-01,0.063714,yahoo
2018-10-01,-0.112947,yahoo
2018-11-01,0.09514,yahoo
2018-12-01,-0.059751,yahoo
2019-01-01,0.149797,yahoo
2019-02-01,0.110205,yahoo
2019-03-01,0.045843,yahoo
2019-04-01,0.062843,yahoo
2019-05-01,-0.086152,yahoo
2019-06-01,0.097176,yahoo
2019-07-01,0.00339,yahoo
2019-08-01,0.108932,yahoo
2019-09-01,-0.032787,yahoo
2019-10-01,0.010775,yahoo
2019-11-01,0.077563,yahoo
2019-12-01,-0.01252,yahoo
2020-01-01,0.148714,yahoo
2020-02-01,-0.132866,yahoo
2020-03-01,-0.425987,yahoo
2020-04-01,0.133952,yahoo
2020-05-01,0.170045,yahoo
2020-06-01,0.040558,yahoo
2020-07-01,-0.023685,yahoo
2020-08-01,0.157769,yahoo
2020-09-01,-0.049132,yahoo
2020-10-01,0.00482,yahoo
2020-11-01,0.213192,yahoo
2020-12-01,0.068475,yahoo
2021-01-01,-0.105955,yahoo
2021-02-01,0.042275,yahoo
2021-03-01,0.019509,yahoo
2021-04-01,0.043918,yahoo
2021-05-01,0.05719,yahoo
2021-06-01,-0.002389,yahoo
2021-07-01,-0.009578,yahoo
2021-08-01,-0.052442,yahoo
2021-09-01,0.02815,yahoo
2021-10-01,-0.001201,yahoo
2021-11-01,-0.073371,yahoo
2021-12-01,0.100735,yahoo
2022-01-01,-0.031574,yahoo
2022-02-01,0.081793,yahoo
2022-03-01,-0.022578,yahoo
2022-04-01,-0.087071,yahoo
2022-05-01,0.017754,yahoo
2022-06-01,-0.113484,yahoo
2022-07-01,0.159633,yahoo
2022-08-01,-0.03527,yahoo
2022-09-01,-0.125868,yahoo
2022-10-01,0.097062,yahoo
2022-11-01,0.091601,yahoo
2022-12-01,0.00183,yahoo
2023-01-01,0.139919,yahoo
2023-02-01,0.036391,yahoo
2023-03-01,-0.009168,yahoo
2023-04-01,0.037921,yahoo
2023-05-01,0.011307,yahoo
2023-06-01,0.155781,yahoo
2023-07-01,0.006207,yahoo
2023-08-01,0.00459,yahoo
2023-09-01,-0.067179,yahoo
2023-10-01,-0.017838,yahoo
2023-11-01,0.16276,yahoo
2023-12-01,0.050609,yahoo
2024-01-01,0.08015,yahoo
2024-02-01,0.077845,yahoo
2024-03-01,0.045732,yahoo
2024-04-01,0.01334,yahoo
2024-05-01,0.07628,yahoo
2024-06-01,-0.048852,yahoo
2024-07-01,0.013001,yahoo
2024-08-01,0.061033,yahoo
2024-09-01,0.039266,yahoo
2024-10-01,-0.087469,yahoo
2024-11-01,-0.037879,yahoo
2024-12-01,0.011421,yahoo
2025-01-01,0.067909,yahoo
2025-02-01,0.010241,yahoo
2025-03-01,0.011769,yahoo
2025-04-01,0.021528,yahoo
2025-05-01,0.039177,yahoo
2025-06-01,0.035555,yahoo
2025-07-01,0.057752,yahoo
2025-08-01,-0.130299,yahoo
2025-09-01,-0.057803,yahoo
2025-10-01,-0.007215,yahoo
2025-11-01,0.03948,yahoo
2025-12-01,-0.022291,yahoo
2026-01-01,0.073459,yahoo
2026-02-01,-0.087388,yahoo
2026-03-01,-0.110402,yahoo
2026-04-01,0.00088,yahoo
2026-05-01,0.084777,yahoo
2026-06-01,0.058586,yahoo
2026-07-01,-0.103105,yahoo
