date,monthly_return,source
2016-07-01,-0.031246,yahoo
2016-08-01,-0.016268,yahoo
2016-09-01,-0.043716,yahoo
2016-10-01,-0.037444,yahoo
2016-11-01,0.157007,yahoo
2016-12-01,0.016203,yahoo
2017-01-01,-0.103906,yahoo
2017-02-01,0.055901,yahoo
2017-03-01,-0.042971,yahoo
2017-04-01,0.040205,yahoo
2017-05-01,-0.006348,yahoo
2017-06-01,0.053521,yahoo
2017-07-01,0.114675,yahoo
2017-08-01,0.019826,yahoo
2017-09-01,0.074561,yahoo
2017-10-01,0.024821,yahoo
2017-11-01,0.107858,yahoo
2017-12-01,0.01953,yahoo
2018-01-01,0.063852,yahoo
2018-02-01,0.002419,yahoo
2018-03-01,-0.035121,yahoo
2018-04-01,0.054182,yahoo
2018-05-01,0.066772,yahoo
2018-06-01,-0.043897,yahoo
2018-07-01,0.025756,yahoo
2018-08-01,-0.026789,yahoo
2018-09-01,-0.0579,yahoo
2018-10-01,-0.111651,yahoo
2018-11-01,0.024436,yahoo
2018-12-01,-0.070853,yahoo
2019-01-01,0.012348,yahoo
2019-02-01,0.074577,yahoo
2019-03-01,-0.003087,yahoo
2019-04-01,0.073712,yahoo
2019-05-01,-0.059163,yahoo
2019-06-01,0.084734,yahoo
2019-07-01,0.033543,yahoo
2019-08-01,-0.024429,yahoo
2019-09-01,0.032815,yahoo
2019-10-01,0.013567,yahoo
2019-11-01,0.067012,yahoo
2019-12-01,-0.01392,yahoo
2020-01-01,0.095946,yahoo
2020-02-01,-0.116229,yahoo
2020-03-01,-0.172528,yahoo
2020-04-01,0.184127,yahoo
2020-05-01,0.045576,yahoo
2020-06-01,0.021505,yahoo
2020-07-01,0.118219,yahoo
2020-08-01,0.008038,yahoo
2020-09-01,-0.078946,yahoo
2020-10-01,-0.012167,yahoo
2020-11-01,0.132244,yahoo
2020-12-01,0.055645,yahoo
2021-01-01,0.033622,yahoo
2021-02-01,0.036171,yahoo
2021-03-01,0.058345,yahoo
2021-04-01,0.044289,yahoo
2021-05-01,0.067801,yahoo
2021-06-01,0.034596,yahoo
2021-07-01,0.031267,yahoo
2021-08-01,0.096542,yahoo
2021-09-01,-0.121365,yahoo
2021-10-01,0.102593,yahoo
2021-11-01,-0.078062,yahoo
2021-12-01,-0.016554,yahoo
2022-01-01,-0.214656,yahoo
2022-02-01,-0.063912,yahoo
2022-03-01,0.045863,yahoo
2022-04-01,-0.18619,yahoo
2022-05-01,0.032916,yahoo
2022-06-01,-0.106067,yahoo
2022-07-01,0.086788,yahoo
2022-08-01,-0.028104,yahoo
2022-09-01,-0.124917,yahoo
2022-10-01,0.010951,yahoo
2022-11-01,0.17662,yahoo
2022-12-01,-0.126891,yahoo
2023-01-01,0.067944,yahoo
2023-02-01,-0.035975,yahoo
2023-03-01,0.005522,yahoo
2023-04-01,-0.005049,yahoo
2023-05-01,-0.046025,yahoo
2023-06-01,0.045353,yahoo
2023-07-01,0.100339,yahoo
2023-08-01,-0.089486,yahoo
2023-09-01,-0.06558,yahoo
2023-10-01,-0.137027,yahoo
2023-11-01,0.106409,yahoo
2023-12-01,0.075502,yahoo
2024-01-01,0.007057,yahoo
2024-02-01,0.045182,yahoo
2024-03-01,0.075607,yahoo
2024-04-01,-0.101296,yahoo
2024-05-01,0.075386,yahoo
2024-06-01,-0.021387,yahoo
2024-07-01,-0.009539,yahoo
2024-08-01,-0.071535,yahoo
2024-09-01,0.027254,yahoo
2024-10-01,0.008538,yahoo
2024-11-01,0.127253,yahoo
2024-12-01,-0.086806,yahoo
2025-01-01,0.033867,yahoo
2025-02-01,-0.095792,yahoo
2025-03-01,-0.131006,yahoo
2025-04-01,-0.036138,yahoo
2025-05-01,0.056917,yahoo
2025-06-01,0.031093,yahoo
2025-07-01,0.051295,yahoo
2025-08-01,0.060818,yahoo
2025-09-01,-0.046274,yahoo
2025-10-01,-0.001072,yahoo
2025-11-01,-0.001463,yahoo
2025-12-01,0.0,yahoo
2026-01-01,0.032233,yahoo
2026-02-01,-0.104561,yahoo
2026-03-01,-0.047448,yahoo
2026-04-01,0.141336,yahoo
2026-05-01,0.016038,yahoo
2026-06-01,0.08763,yahoo
2026-07-01,0.042748,yahoo
