date,monthly_return,source
2016-06-01,-0.049053,yahoo
2016-07-01,0.106039,yahoo
2016-08-01,-0.097023,yahoo
2016-09-01,-0.03764,yahoo
2016-10-01,-0.030878,yahoo
2016-11-01,-0.042128,yahoo
2016-12-01,0.128247,yahoo
2017-01-01,0.178951,yahoo
2017-02-01,-0.007701,yahoo
2017-03-01,0.113245,yahoo
2017-04-01,0.12853,yahoo
2017-05-01,0.085777,yahoo
2017-06-01,0.060409,yahoo
2017-07-01,-0.105473,yahoo
2017-08-01,0.100257,yahoo
2017-09-01,-0.041585,yahoo
2017-10-01,-0.028056,yahoo
2017-11-01,-0.06841,yahoo
2017-12-01,0.008095,yahoo
2018-01-01,0.13798,yahoo
2018-02-01,-0.031752,yahoo
2018-03-01,-0.224246,yahoo
2018-04-01,0.104347,yahoo
2018-05-01,-0.031201,yahoo
2018-06-01,0.204474,yahoo
2018-07-01,-0.13066,yahoo
2018-08-01,0.011807,yahoo
2018-09-01,-0.12229,yahoo
2018-10-01,0.274011,yahoo
2018-11-01,0.039013,yahoo
2018-12-01,-0.050445,yahoo
2019-01-01,-0.077464,yahoo
2019-02-01,0.041886,yahoo
2019-03-01,-0.125109,yahoo
2019-04-01,-0.147109,yahoo
2019-05-01,-0.224266,yahoo
2019-06-01,0.206848,yahoo
2019-07-01,0.081223,yahoo
2019-08-01,-0.066222,yahoo
2019-09-01,0.067639,yahoo
2019-10-01,0.307427,yahoo
2019-11-01,0.047695,yahoo
2019-12-01,0.267897,yahoo
2020-01-01,0.55516,yahoo
2020-02-01,0.026776,yahoo
2020-03-01,-0.215557,yahoo
2020-04-01,0.492137,yahoo
2020-05-01,0.067939,yahoo
2020-06-01,0.293186,yahoo
2020-07-01,0.325011,yahoo
2020-08-01,0.741452,yahoo
2020-09-01,-0.139087,yahoo
2020-10-01,-0.095499,yahoo
2020-11-01,0.462736,yahoo
2020-12-01,0.243252,yahoo
2021-01-01,0.124506,yahoo
2021-02-01,-0.14874,yahoo
2021-03-01,-0.011207,yahoo
2021-04-01,0.062147,yahoo
2021-05-01,-0.118713,yahoo
2021-06-01,0.087137,yahoo
2021-07-01,0.011034,yahoo
2021-08-01,0.070605,yahoo
2021-09-01,0.054042,yahoo
2021-10-01,0.43653,yahoo
2021-11-01,0.027612,yahoo
2021-12-01,-0.076855,yahoo
2022-01-01,-0.113609,yahoo
2022-02-01,-0.070768,yahoo
2022-03-01,0.238009,yahoo
2022-04-01,-0.191945,yahoo
2022-05-01,-0.129197,yahoo
2022-06-01,-0.111888,yahoo
2022-07-01,0.323765,yahoo
2022-08-01,-0.072489,yahoo
2022-09-01,-0.037589,yahoo
2022-10-01,-0.142168,yahoo
2022-11-01,-0.144326,yahoo
2022-12-01,-0.367334,yahoo
2023-01-01,0.406235,yahoo
2023-02-01,0.187565,yahoo
2023-03-01,0.008507,yahoo
2023-04-01,-0.207992,yahoo
2023-05-01,0.24113,yahoo
2023-06-01,0.283627,yahoo
2023-07-01,0.021622,yahoo
2023-08-01,-0.034962,yahoo
2023-09-01,-0.030456,yahoo
2023-10-01,-0.197346,yahoo
2023-11-01,0.195379,yahoo
2023-12-01,0.034988,yahoo
2024-01-01,-0.246257,yahoo
2024-02-01,0.077901,yahoo
2024-03-01,-0.129235,yahoo
2024-04-01,0.042608,yahoo
2024-05-01,-0.028372,yahoo
2024-06-01,0.111186,yahoo
2024-07-01,0.172781,yahoo
2024-08-01,-0.07739,yahoo
2024-09-01,0.221942,yahoo
2024-10-01,-0.045025,yahoo
2024-11-01,0.381469,yahoo
2024-12-01,0.170008,yahoo
2025-01-01,0.001882,yahoo
2025-02-01,-0.275877,yahoo
2025-03-01,-0.115435,yahoo
2025-04-01,0.088748,yahoo
2025-05-01,0.227885,yahoo
2025-06-01,-0.083126,yahoo
2025-07-01,-0.02956,yahoo
2025-08-01,0.083044,yahoo
2025-09-01,0.332015,yahoo
2025-10-01,0.026623,yahoo
2025-11-01,-0.057802,yahoo
2025-12-01,0.045447,yahoo
2026-01-01,-0.042938,yahoo
2026-02-01,-0.064822,yahoo
2026-03-01,-0.07642,yahoo
2026-04-01,0.026577,yahoo
2026-05-01,0.141918,yahoo
2026-06-01,-0.034856,yahoo
2026-07-01,-0.042083,yahoo
