date,monthly_return,source
2016-07-01,0.101961,yahoo
2016-08-01,0.026766,yahoo
2016-09-01,-0.01191,yahoo
2016-10-01,-0.051158,yahoo
2016-11-01,-0.198165,yahoo
2016-12-01,0.085724,yahoo
2017-01-01,0.017996,yahoo
2017-02-01,-0.003663,yahoo
2017-03-01,-0.013587,yahoo
2017-04-01,0.041322,yahoo
2017-05-01,-0.107688,yahoo
2017-06-01,0.092257,yahoo
2017-07-01,0.011656,yahoo
2017-08-01,-0.000947,yahoo
2017-09-01,0.112954,yahoo
2017-10-01,0.034918,yahoo
2017-11-01,0.128103,yahoo
2017-12-01,-0.014347,yahoo
2018-01-01,-0.061182,yahoo
2018-02-01,-0.02273,yahoo
2018-03-01,-0.015999,yahoo
2018-04-01,-0.042219,yahoo
2018-05-01,-0.037518,yahoo
2018-06-01,0.020453,yahoo
2018-07-01,-0.162672,yahoo
2018-08-01,0.089506,yahoo
2018-09-01,-0.052221,yahoo
2018-10-01,0.006551,yahoo
2018-11-01,-0.016188,yahoo
2018-12-01,-0.094148,yahoo
2019-01-01,0.15955,yahoo
2019-02-01,-0.004199,yahoo
2019-03-01,0.126014,yahoo
2019-04-01,0.080369,yahoo
2019-05-01,0.011732,yahoo
2019-06-01,0.063908,yahoo
2019-07-01,-0.015358,yahoo
2019-08-01,0.170314,yahoo
2019-09-01,-0.074162,yahoo
2019-10-01,-0.03889,yahoo
2019-11-01,0.085759,yahoo
2019-12-01,0.012793,yahoo
2020-01-01,-0.092377,yahoo
2020-02-01,-0.179112,yahoo
2020-03-01,-0.146838,yahoo
2020-04-01,0.07465,yahoo
2020-05-01,-0.01206,yahoo
2020-06-01,-0.028158,yahoo
2020-07-01,0.029141,yahoo
2020-08-01,0.021969,yahoo
2020-09-01,-0.052866,yahoo
2020-10-01,-0.037828,yahoo
2020-11-01,0.139263,yahoo
2020-12-01,-0.011656,yahoo
2021-01-01,-0.002017,yahoo
2021-02-01,0.052247,yahoo
2021-03-01,0.097976,yahoo
2021-04-01,0.042396,yahoo
2021-05-01,0.026469,yahoo
2021-06-01,-0.072201,yahoo
2021-07-01,-0.031182,yahoo
2021-08-01,0.098796,yahoo
2021-09-01,0.005349,yahoo
2021-10-01,0.013048,yahoo
2021-11-01,-0.01263,yahoo
2021-12-01,0.10385,yahoo
2022-01-01,0.042795,yahoo
2022-02-01,0.019474,yahoo
2022-03-01,-0.0327,yahoo
2022-04-01,0.039384,yahoo
2022-05-01,-0.038107,yahoo
2022-06-01,-0.039616,yahoo
2022-07-01,0.022659,yahoo
2022-08-01,-0.143506,yahoo
2022-09-01,-0.125365,yahoo
2022-10-01,0.036706,yahoo
2022-11-01,-0.030285,yahoo
2022-12-01,-0.060803,yahoo
2023-01-01,0.056225,yahoo
2023-02-01,-0.099011,yahoo
2023-03-01,0.00135,yahoo
2023-04-01,0.053439,yahoo
2023-05-01,-0.18963,yahoo
2023-06-01,0.007899,yahoo
2023-07-01,0.091693,yahoo
2023-08-01,-0.04397,yahoo
2023-09-01,-0.052187,yahoo
2023-10-01,-0.081996,yahoo
2023-11-01,0.010572,yahoo
2023-12-01,0.147523,yahoo
2024-01-01,0.018791,yahoo
2024-02-01,-0.009496,yahoo
2024-03-01,0.08278,yahoo
2024-04-01,0.032692,yahoo
2024-05-01,-0.056059,yahoo
2024-06-01,-0.001921,yahoo
2024-07-01,0.065803,yahoo
2024-08-01,0.055993,yahoo
2024-09-01,-0.073861,yahoo
2024-10-01,-0.016286,yahoo
2024-11-01,0.10087,yahoo
2024-12-01,-0.109457,yahoo
2025-01-01,-0.016539,yahoo
2025-02-01,0.085856,yahoo
2025-03-01,0.040267,yahoo
2025-04-01,-0.040276,yahoo
2025-05-01,-0.082952,yahoo
2025-06-01,-0.003917,yahoo
2025-07-01,-0.06507,yahoo
2025-08-01,0.08566,yahoo
2025-09-01,-0.043677,yahoo
2025-10-01,-0.053223,yahoo
2025-11-01,0.129158,yahoo
2025-12-01,0.009819,yahoo
2026-01-01,0.114466,yahoo
2026-02-01,-0.005204,yahoo
2026-03-01,-0.014156,yahoo
2026-04-01,0.0,yahoo
2026-05-01,-0.047604,yahoo
2026-06-01,-0.061783,yahoo
2026-07-01,-0.008734,yahoo
