date,monthly_return,source
2016-10-01,-0.137966,yahoo
2016-11-01,0.0556,yahoo
2016-12-01,0.041008,yahoo
2017-01-01,0.071919,yahoo
2017-02-01,0.423129,yahoo
2017-03-01,-0.117508,yahoo
2017-04-01,0.002685,yahoo
2017-05-01,0.472557,yahoo
2017-06-01,-0.088909,yahoo
2017-07-01,0.063859,yahoo
2017-08-01,-0.006378,yahoo
2017-09-01,0.161223,yahoo
2017-10-01,0.071696,yahoo
2017-11-01,-0.254551,yahoo
2017-12-01,-0.069394,yahoo
2018-01-01,0.060136,yahoo
2018-02-01,0.160479,yahoo
2018-03-01,-0.118023,yahoo
2018-04-01,0.031237,yahoo
2018-05-01,0.671487,yahoo
2018-06-01,0.096691,yahoo
2018-07-01,-0.101066,yahoo
2018-08-01,0.682638,yahoo
2018-09-01,0.063645,yahoo
2018-10-01,-0.1813,yahoo
2018-11-01,0.152975,yahoo
2018-12-01,-0.185258,yahoo
2019-01-01,0.229364,yahoo
2019-02-01,0.384497,yahoo
2019-03-01,0.002076,yahoo
2019-04-01,0.118868,yahoo
2019-05-01,-0.102357,yahoo
2019-06-01,0.145717,yahoo
2019-07-01,0.155984,yahoo
2019-08-01,-0.066613,yahoo
2019-09-01,-0.236888,yahoo
2019-10-01,0.070648,yahoo
2019-11-01,0.311454,yahoo
2019-12-01,-0.013519,yahoo
2020-01-01,0.036184,yahoo
2020-02-01,0.06713,yahoo
2020-03-01,-0.328111,yahoo
2020-04-01,0.515959,yahoo
2020-05-01,0.064871,yahoo
2020-06-01,0.304725,yahoo
2020-07-01,0.110258,yahoo
2020-08-01,0.066427,yahoo
2020-09-01,0.077872,yahoo
2020-10-01,0.091889,yahoo
2020-11-01,0.590732,yahoo
2020-12-01,-0.111057,yahoo
2021-01-01,-0.043708,yahoo
2021-02-01,0.051437,yahoo
2021-03-01,-0.190876,yahoo
2021-04-01,0.119157,yahoo
2021-05-01,-0.193567,yahoo
2021-06-01,0.315333,yahoo
2021-07-01,0.058816,yahoo
2021-08-01,-0.022708,yahoo
2021-09-01,-0.121799,yahoo
2021-10-01,0.065576,yahoo
2021-11-01,0.38059,yahoo
2021-12-01,-0.113904,yahoo
2022-01-01,-0.241161,yahoo
2022-02-01,0.22692,yahoo
2022-03-01,-0.18835,yahoo
2022-04-01,-0.14917,yahoo
2022-05-01,-0.116599,yahoo
2022-06-01,-0.195197,yahoo
2022-07-01,0.074242,yahoo
2022-08-01,0.393333,yahoo
2022-09-01,-0.047049,yahoo
2022-10-01,-0.108954,yahoo
2022-11-01,-0.020661,yahoo
2022-12-01,-0.140199,yahoo
2023-01-01,0.130939,yahoo
2023-02-01,0.103747,yahoo
2023-03-01,0.088456,yahoo
2023-04-01,0.056313,yahoo
2023-05-01,0.089214,yahoo
2023-06-01,0.101884,yahoo
2023-07-01,0.181818,yahoo
2023-08-01,-0.123055,yahoo
2023-09-01,-0.023491,yahoo
2023-10-01,-0.092003,yahoo
2023-11-01,-0.007046,yahoo
2023-12-01,0.021289,yahoo
2024-01-01,-0.049055,yahoo
2024-02-01,0.248429,yahoo
2024-03-01,0.023294,yahoo
2024-04-01,-0.052276,yahoo
2024-05-01,0.119855,yahoo
2024-06-01,0.052705,yahoo
2024-07-01,-0.079758,yahoo
2024-08-01,0.162995,yahoo
2024-09-01,0.048981,yahoo
2024-10-01,0.096306,yahoo
2024-11-01,0.069379,yahoo
2024-12-01,-0.085725,yahoo
2025-01-01,0.009785,yahoo
2025-02-01,-0.407482,yahoo
2025-03-01,-0.221843,yahoo
2025-04-01,-0.01992,yahoo
2025-05-01,0.402573,yahoo
2025-06-01,-0.042941,yahoo
2025-07-01,0.207946,yahoo
2025-08-01,-0.371435,yahoo
2025-09-01,-0.103366,yahoo
2025-10-01,0.025913,yahoo
2025-11-01,-0.213206,yahoo
2025-12-01,-0.040445,yahoo
2026-01-01,-0.201001,yahoo
2026-02-01,-0.214639,yahoo
2026-03-01,-0.047439,yahoo
2026-04-01,0.039665,yahoo
2026-05-01,-0.086053,yahoo
2026-06-01,-0.16141,yahoo
2026-07-01,0.030973,yahoo
