date,monthly_return,source
2016-07-01,-0.022134,yahoo
2016-08-01,0.005705,yahoo
2016-09-01,0.044404,yahoo
2016-10-01,-0.063248,yahoo
2016-11-01,-0.071696,yahoo
2016-12-01,-0.041169,yahoo
2017-01-01,0.022764,yahoo
2017-02-01,0.038556,yahoo
2017-03-01,0.019189,yahoo
2017-04-01,0.058424,yahoo
2017-05-01,0.044563,yahoo
2017-06-01,0.028031,yahoo
2017-07-01,-0.021973,yahoo
2017-08-01,0.005762,yahoo
2017-09-01,0.008796,yahoo
2017-10-01,0.017038,yahoo
2017-11-01,0.031756,yahoo
2017-12-01,-0.032091,yahoo
2018-01-01,0.138153,yahoo
2018-02-01,0.00794,yahoo
2018-03-01,0.038649,yahoo
2018-04-01,0.037732,yahoo
2018-05-01,0.058012,yahoo
2018-06-01,-0.041102,yahoo
2018-07-01,0.013012,yahoo
2018-08-01,0.097604,yahoo
2018-09-01,-0.007653,yahoo
2018-10-01,-0.136293,yahoo
2018-11-01,-0.089294,yahoo
2018-12-01,-0.036003,yahoo
2019-01-01,0.018136,yahoo
2019-02-01,0.082457,yahoo
2019-03-01,-0.001904,yahoo
2019-04-01,0.134589,yahoo
2019-05-01,-0.080031,yahoo
2019-06-01,0.012515,yahoo
2019-07-01,0.080224,yahoo
2019-08-01,0.099379,yahoo
2019-09-01,0.023232,yahoo
2019-10-01,0.022933,yahoo
2019-11-01,0.080627,yahoo
2019-12-01,0.033946,yahoo
2020-01-01,0.078861,yahoo
2020-02-01,-0.031914,yahoo
2020-03-01,-0.053582,yahoo
2020-04-01,0.081366,yahoo
2020-05-01,0.17032,yahoo
2020-06-01,-0.075751,yahoo
2020-07-01,0.029895,yahoo
2020-08-01,-0.033422,yahoo
2020-09-01,0.009412,yahoo
2020-10-01,0.102766,yahoo
2020-11-01,0.112441,yahoo
2020-12-01,0.020861,yahoo
2021-01-01,-0.031453,yahoo
2021-02-01,0.0961,yahoo
2021-03-01,-0.08392,yahoo
2021-04-01,0.000777,yahoo
2021-05-01,-0.051076,yahoo
2021-06-01,0.122061,yahoo
2021-07-01,0.08902,yahoo
2021-08-01,-0.014087,yahoo
2021-09-01,-0.055693,yahoo
2021-10-01,0.184389,yahoo
2021-11-01,-0.044623,yahoo
2021-12-01,0.036553,yahoo
2022-01-01,-0.119249,yahoo
2022-02-01,-0.096116,yahoo
2022-03-01,0.038832,yahoo
2022-04-01,-0.112792,yahoo
2022-05-01,-0.098528,yahoo
2022-06-01,-0.065595,yahoo
2022-07-01,0.200072,yahoo
2022-08-01,-0.068897,yahoo
2022-09-01,-0.064628,yahoo
2022-10-01,-0.069554,yahoo
2022-11-01,0.060032,yahoo
2022-12-01,-0.059316,yahoo
2023-01-01,0.001117,yahoo
2023-02-01,-0.004709,yahoo
2023-03-01,0.103938,yahoo
2023-04-01,0.068774,yahoo
2023-05-01,0.047305,yahoo
2023-06-01,0.049149,yahoo
2023-07-01,-0.047638,yahoo
2023-08-01,0.004538,yahoo
2023-09-01,-0.030846,yahoo
2023-10-01,-0.034288,yahoo
2023-11-01,0.09638,yahoo
2023-12-01,0.022698,yahoo
2024-01-01,0.011073,yahoo
2024-02-01,0.034039,yahoo
2024-03-01,-0.027749,yahoo
2024-04-01,0.085974,yahoo
2024-05-01,0.040754,yahoo
2024-06-01,0.046673,yahoo
2024-07-01,0.129938,yahoo
2024-08-01,0.034782,yahoo
2024-09-01,-0.007059,yahoo
2024-10-01,0.037467,yahoo
2024-11-01,0.038937,yahoo
2024-12-01,-0.083491,yahoo
2025-01-01,0.043355,yahoo
2025-02-01,0.011286,yahoo
2025-03-01,-0.044442,yahoo
2025-04-01,-0.065515,yahoo
2025-05-01,0.06201,yahoo
2025-06-01,0.02747,yahoo
2025-07-01,-0.013967,yahoo
2025-08-01,-0.037088,yahoo
2025-09-01,-0.070566,yahoo
2025-10-01,-0.089647,yahoo
2025-11-01,-0.013942,yahoo
2025-12-01,-0.033367,yahoo
2026-01-01,-0.186254,yahoo
2026-02-01,-0.039821,yahoo
2026-03-01,-0.034706,yahoo
2026-04-01,-0.003622,yahoo
2026-05-01,-0.082048,yahoo
2026-06-01,-0.066071,yahoo
2026-07-01,0.092491,yahoo
