date,monthly_return,source
2019-06-01,0.147736,yahoo
2019-07-01,-0.091419,yahoo
2019-08-01,-0.2271,yahoo
2019-09-01,-0.064477,yahoo
2019-10-01,0.033804,yahoo
2019-11-01,-0.060317,yahoo
2019-12-01,0.00473,yahoo
2020-01-01,0.220242,yahoo
2020-02-01,-0.066685,yahoo
2020-03-01,-0.175672,yahoo
2020-04-01,0.084169,yahoo
2020-05-01,0.199868,yahoo
2020-06-01,-0.144273,yahoo
2020-07-01,-0.026384,yahoo
2020-08-01,0.111368,yahoo
2020-09-01,0.084746,yahoo
2020-10-01,-0.084156,yahoo
2020-11-01,0.486381,yahoo
2020-12-01,0.026983,yahoo
2021-01-01,-0.001373,yahoo
2021-02-01,0.016101,yahoo
2021-03-01,0.053333,yahoo
2021-04-01,0.00477,yahoo
2021-05-01,-0.071937,yahoo
2021-06-01,-0.013968,yahoo
2021-07-01,-0.132881,yahoo
2021-08-01,-0.099402,yahoo
2021-09-01,0.144609,yahoo
2021-10-01,-0.021875,yahoo
2021-11-01,-0.132816,yahoo
2021-12-01,0.103421,yahoo
2022-01-01,-0.108037,yahoo
2022-02-01,-0.036631,yahoo
2022-03-01,-0.009714,yahoo
2022-04-01,-0.117713,yahoo
2022-05-01,-0.263024,yahoo
2022-06-01,-0.118104,yahoo
2022-07-01,0.146139,yahoo
2022-08-01,0.226439,yahoo
2022-09-01,-0.078581,yahoo
2022-10-01,0.002641,yahoo
2022-11-01,0.096726,yahoo
2022-12-01,-0.151338,yahoo
2023-01-01,0.250708,yahoo
2023-02-01,0.075331,yahoo
2023-03-01,-0.046903,yahoo
2023-04-01,-0.020505,yahoo
2023-05-01,0.221578,yahoo
2023-06-01,0.138149,yahoo
2023-07-01,0.145703,yahoo
2023-08-01,-0.045087,yahoo
2023-09-01,-0.026254,yahoo
2023-10-01,-0.058926,yahoo
2023-11-01,0.30268,yahoo
2023-12-01,0.092054,yahoo
2024-01-01,0.060094,yahoo
2024-02-01,0.218018,yahoo
2024-03-01,-0.031572,yahoo
2024-04-01,-0.139239,yahoo
2024-05-01,-0.025804,yahoo
2024-06-01,0.125775,yahoo
2024-07-01,-0.112961,yahoo
2024-08-01,0.134326,yahoo
2024-09-01,0.027759,yahoo
2024-10-01,-0.041378,yahoo
2024-11-01,-0.001249,yahoo
2024-12-01,-0.161757,yahoo
2025-01-01,0.108256,yahoo
2025-02-01,0.137023,yahoo
2025-03-01,-0.041442,yahoo
2025-04-01,0.111858,yahoo
2025-05-01,0.038884,yahoo
2025-06-01,0.108603,yahoo
2025-07-01,-0.059486,yahoo
2025-08-01,0.068376,yahoo
2025-09-01,0.045013,yahoo
2025-10-01,-0.015005,yahoo
2025-11-01,-0.09285,yahoo
2025-12-01,-0.066598,yahoo
2026-01-01,-0.020316,yahoo
2026-02-01,-0.057839,yahoo
2026-03-01,-0.046274,yahoo
2026-04-01,0.037258,yahoo
2026-05-01,-0.056427,yahoo
2026-06-01,0.025,yahoo
2026-07-01,-0.008453,yahoo
