date,monthly_return,source
2016-07-01,0.113423,yahoo
2016-08-01,0.077125,yahoo
2016-09-01,0.008798,yahoo
2016-10-01,-0.058866,yahoo
2016-11-01,0.196396,yahoo
2016-12-01,-0.124355,yahoo
2017-01-01,0.040049,yahoo
2017-02-01,0.032128,yahoo
2017-03-01,0.173724,yahoo
2017-04-01,0.045632,yahoo
2017-05-01,0.185006,yahoo
2017-06-01,-0.035096,yahoo
2017-07-01,0.039961,yahoo
2017-08-01,-0.066813,yahoo
2017-09-01,-0.051933,yahoo
2017-10-01,0.080305,yahoo
2017-11-01,-0.011979,yahoo
2017-12-01,-0.08188,yahoo
2018-01-01,0.13712,yahoo
2018-02-01,0.108813,yahoo
2018-03-01,0.047633,yahoo
2018-04-01,-0.039578,yahoo
2018-05-01,0.103094,yahoo
2018-06-01,-0.006463,yahoo
2018-07-01,-0.016003,yahoo
2018-08-01,0.379876,yahoo
2018-09-01,0.043216,yahoo
2018-10-01,-0.160926,yahoo
2018-11-01,0.052655,yahoo
2018-12-01,-0.071131,yahoo
2019-01-01,0.221003,yahoo
2019-02-01,0.081148,yahoo
2019-03-01,0.075905,yahoo
2019-04-01,0.102554,yahoo
2019-05-01,0.103096,yahoo
2019-06-01,0.050684,yahoo
2019-07-01,0.023379,yahoo
2019-08-01,-0.033273,yahoo
2019-09-01,-0.047949,yahoo
2019-10-01,-0.071125,yahoo
2019-11-01,0.051823,yahoo
2019-12-01,-0.057112,yahoo
2020-01-01,0.042301,yahoo
2020-02-01,-0.031649,yahoo
2020-03-01,0.10143,yahoo
2020-04-01,0.220183,yahoo
2020-05-01,0.147117,yahoo
2020-06-01,0.071047,yahoo
2020-07-01,0.128615,yahoo
2020-08-01,0.066901,yahoo
2020-09-01,-0.003826,yahoo
2020-10-01,-0.039617,yahoo
2020-11-01,0.025255,yahoo
2020-12-01,-0.016687,yahoo
2021-01-01,0.01539,yahoo
2021-02-01,0.013276,yahoo
2021-03-01,-0.067366,yahoo
2021-04-01,0.08119,yahoo
2021-05-01,0.031475,yahoo
2021-06-01,0.06731,yahoo
2021-07-01,0.069979,yahoo
2021-08-01,-0.002194,yahoo
2021-09-01,-0.131966,yahoo
2021-10-01,0.10008,yahoo
2021-11-01,-0.108609,yahoo
2021-12-01,-0.095902,yahoo
2022-01-01,-0.074135,yahoo
2022-02-01,-0.031665,yahoo
2022-03-01,-0.07243,yahoo
2022-04-01,-0.143604,yahoo
2022-05-01,-0.064248,yahoo
2022-06-01,0.163162,yahoo
2022-07-01,0.128964,yahoo
2022-08-01,-0.108507,yahoo
2022-09-01,-0.172787,yahoo
2022-10-01,0.018559,yahoo
2022-11-01,0.1335,yahoo
2022-12-01,-0.152238,yahoo
2023-01-01,0.056822,yahoo
2023-02-01,-0.028672,yahoo
2023-03-01,0.109441,yahoo
2023-04-01,-0.025627,yahoo
2023-05-01,-0.074715,yahoo
2023-06-01,0.193301,yahoo
2023-07-01,0.032823,yahoo
2023-08-01,0.021937,yahoo
2023-09-01,-0.025156,yahoo
2023-10-01,-0.052789,yahoo
2023-11-01,-0.09548,yahoo
2023-12-01,0.104469,yahoo
2024-01-01,0.077343,yahoo
2024-02-01,0.087267,yahoo
2024-03-01,0.027405,yahoo
2024-04-01,-0.142993,yahoo
2024-05-01,-0.122431,yahoo
2024-06-01,0.050273,yahoo
2024-07-01,0.04874,yahoo
2024-08-01,0.127703,yahoo
2024-09-01,-0.030355,yahoo
2024-10-01,-0.004955,yahoo
2024-11-01,0.091079,yahoo
2024-12-01,-0.077244,yahoo
2025-01-01,0.109441,yahoo
2025-02-01,-0.039098,yahoo
2025-03-01,0.033417,yahoo
2025-04-01,0.008893,yahoo
2025-05-01,0.196885,yahoo
2025-06-01,0.029603,yahoo
2025-07-01,-0.013126,yahoo
2025-08-01,-0.05278,yahoo
2025-09-01,0.106649,yahoo
2025-10-01,-0.022524,yahoo
2025-11-01,-0.174828,yahoo
2025-12-01,-0.070998,yahoo
2026-01-01,-0.086503,yahoo
2026-02-01,-0.107444,yahoo
2026-03-01,-0.034888,yahoo
2026-04-01,-0.112092,yahoo
2026-05-01,0.117779,yahoo
2026-06-01,0.017953,yahoo
2026-07-01,0.091903,yahoo
