date,monthly_return
2021-07-01,0.02865446
2021-08-01,-0.15825594
2021-09-01,0.09352518
2021-10-01,-0.23289476
2021-11-01,0.18353349
2021-12-01,-0.26714977
2022-01-01,0.15227427
2022-02-01,0.12414186
2022-03-01,-0.15674302
2022-04-01,0.24502116
2022-05-01,-0.15220557
2022-06-01,0.04345344
2022-07-01,-0.20219175
2022-08-01,0.00206036
2022-09-01,0.17203569
2022-10-01,-0.16432752
2022-11-01,-0.15605316
2022-12-01,-0.05638471
2023-01-01,-0.19595784
2023-02-01,0.01857920
2023-03-01,-0.02896993
2023-04-01,-0.16243091
2023-05-01,-0.08970980
2023-06-01,-0.27652177
2023-07-01,-0.09174676
2023-08-01,-0.05072782
2023-09-01,0.08271370
2023-10-01,0.00515025
2023-11-01,-0.26302305
2023-12-01,-0.10139050
2024-01-01,-0.02772407
2024-02-01,-0.10543768
2024-03-01,-0.03928834
2024-04-01,0.04475308
2024-05-01,-0.15509604
2024-06-01,-0.05157336
2024-07-01,0.05529948
2024-08-01,-0.03930129
2024-09-01,0.11363636
2024-10-01,0.16734695
2024-11-01,-0.26590907
2024-12-01,0.07216001
2025-01-01,-0.03665041
2025-02-01,0.03228041
2025-03-01,0.12262671
2025-04-01,0.25626744
2025-05-01,-0.16423819
2025-06-01,-0.11161644
2025-07-01,-0.11497439
2025-08-01,-0.15015674
2025-09-01,-0.08394779
2025-10-01,0.02260061
2025-11-01,-0.05752345
2025-12-01,-0.17635721
2026-01-01,0.04173166
2026-02-01,0.04305509
2026-03-01,0.23295038
2026-04-01,-0.20756913
2026-05-01,-0.14437908
2026-06-01,0.06440532
