date,monthly_return,source
2016-11-01,-0.082237,yahoo
2016-12-01,0.111111,yahoo
2017-01-01,0.045806,yahoo
2017-02-01,-0.003084,yahoo
2017-03-01,0.008663,yahoo
2017-04-01,-0.082822,yahoo
2017-05-01,-0.01204,yahoo
2017-06-01,0.136764,yahoo
2017-07-01,-0.021441,yahoo
2017-08-01,0.077298,yahoo
2017-09-01,0.055932,yahoo
2017-10-01,0.040128,yahoo
2017-11-01,-0.027778,yahoo
2017-12-01,-0.030688,yahoo
2018-01-01,0.06441,yahoo
2018-02-01,-0.028205,yahoo
2018-03-01,0.099208,yahoo
2018-04-01,0.096976,yahoo
2018-05-01,0.073523,yahoo
2018-06-01,-0.035467,yahoo
2018-07-01,-0.044801,yahoo
2018-08-01,0.041593,yahoo
2018-09-01,0.056924,yahoo
2018-10-01,-0.090434,yahoo
2018-11-01,0.037561,yahoo
2018-12-01,-0.025128,yahoo
2019-01-01,0.096986,yahoo
2019-02-01,0.037037,yahoo
2019-03-01,-0.000384,yahoo
2019-04-01,0.046869,yahoo
2019-05-01,-0.135413,yahoo
2019-06-01,-0.039049,yahoo
2019-07-01,-0.05212,yahoo
2019-08-01,0.162628,yahoo
2019-09-01,0.071343,yahoo
2019-10-01,0.011223,yahoo
2019-11-01,-0.018498,yahoo
2019-12-01,-0.133434,yahoo
2020-01-01,-0.020444,yahoo
2020-02-01,-0.146092,yahoo
2020-03-01,-0.170047,yahoo
2020-04-01,0.224311,yahoo
2020-05-01,0.046059,yahoo
2020-06-01,-0.089041,yahoo
2020-07-01,0.002148,yahoo
2020-08-01,0.030547,yahoo
2020-09-01,-0.019241,yahoo
2020-10-01,-0.079003,yahoo
2020-11-01,0.075417,yahoo
2020-12-01,0.052463,yahoo
2021-01-01,0.015768,yahoo
2021-02-01,-0.136204,yahoo
2021-03-01,0.024928,yahoo
2021-04-01,-0.045814,yahoo
2021-05-01,-0.041494,yahoo
2021-06-01,0.147186,yahoo
2021-07-01,0.032345,yahoo
2021-08-01,-0.003133,yahoo
2021-09-01,-0.104243,yahoo
2021-10-01,0.145614,yahoo
2021-11-01,0.014803,yahoo
2021-12-01,0.145372,yahoo
2022-01-01,-0.042161,yahoo
2022-02-01,0.046309,yahoo
2022-03-01,0.018843,yahoo
2022-04-01,0.076129,yahoo
2022-05-01,0.053957,yahoo
2022-06-01,-0.133485,yahoo
2022-07-01,0.131291,yahoo
2022-08-01,-0.042553,yahoo
2022-09-01,-0.151515,yahoo
2022-10-01,0.093809,yahoo
2022-11-01,0.059208,yahoo
2022-12-01,-0.046445,yahoo
2023-01-01,-0.006035,yahoo
2023-02-01,-0.046401,yahoo
2023-03-01,0.091405,yahoo
2023-04-01,-0.005833,yahoo
2023-05-01,0.00461,yahoo
2023-06-01,0.095119,yahoo
2023-07-01,0.068952,yahoo
2023-08-01,0.119743,yahoo
2023-09-01,0.056015,yahoo
2023-10-01,-0.013864,yahoo
2023-11-01,0.082213,yahoo
2023-12-01,0.087828,yahoo
2024-01-01,0.065161,yahoo
2024-02-01,0.329271,yahoo
2024-03-01,0.277044,yahoo
2024-04-01,0.088873,yahoo
2024-05-01,0.306435,yahoo
2024-06-01,-0.132216,yahoo
2024-07-01,-0.078623,yahoo
2024-08-01,0.078389,yahoo
2024-09-01,0.387569,yahoo
2024-10-01,0.054159,yahoo
2024-11-01,0.279129,yahoo
2024-12-01,-0.13745,yahoo
2025-01-01,0.218757,yahoo
2025-02-01,-0.204547,yahoo
2025-03-01,-0.121353,yahoo
2025-04-01,0.103798,yahoo
2025-05-01,0.238679,yahoo
2025-06-01,0.207012,yahoo
2025-07-01,0.076002,yahoo
2025-08-01,-0.093172,yahoo
2025-09-01,0.036011,yahoo
2025-10-01,-0.038893,yahoo
2025-11-01,-0.050133,yahoo
2025-12-01,-0.09801,yahoo
2026-01-01,-0.018471,yahoo
2026-02-01,0.098137,yahoo
2026-03-01,-0.135488,yahoo
2026-04-01,0.049957,yahoo
2026-05-01,0.015142,yahoo
2026-06-01,-0.009986,yahoo
2026-07-01,0.023325,yahoo
