date,monthly_return,source
2016-07-01,-0.002263,yahoo
2016-08-01,-0.03297,yahoo
2016-09-01,-0.002815,yahoo
2016-10-01,0.029799,yahoo
2016-11-01,0.058788,yahoo
2016-12-01,0.019994,yahoo
2017-01-01,-0.019884,yahoo
2017-02-01,0.054964,yahoo
2017-03-01,-0.005456,yahoo
2017-04-01,-0.00192,yahoo
2017-05-01,0.001786,yahoo
2017-06-01,0.006035,yahoo
2017-07-01,0.02454,yahoo
2017-08-01,0.026081,yahoo
2017-09-01,0.015043,yahoo
2017-10-01,0.049828,yahoo
2017-11-01,0.000974,yahoo
2017-12-01,0.04924,yahoo
2018-01-01,0.024681,yahoo
2018-02-01,-0.023861,yahoo
2018-03-01,-0.025487,yahoo
2018-04-01,-0.033642,yahoo
2018-05-01,0.017468,yahoo
2018-06-01,-0.016564,yahoo
2018-07-01,0.106467,yahoo
2018-08-01,0.01,yahoo
2018-09-01,-0.005941,yahoo
2018-10-01,-0.009849,yahoo
2018-11-01,0.047837,yahoo
2018-12-01,-0.050773,yahoo
2019-01-01,0.075065,yahoo
2019-02-01,0.058326,yahoo
2019-03-01,0.026272,yahoo
2019-04-01,0.033009,yahoo
2019-05-01,0.018726,yahoo
2019-06-01,0.055053,yahoo
2019-07-01,0.014128,yahoo
2019-08-01,0.020085,yahoo
2019-09-01,-0.036447,yahoo
2019-10-01,-0.024261,yahoo
2019-11-01,0.006238,yahoo
2019-12-01,0.009299,yahoo
2020-01-01,0.067919,yahoo
2020-02-01,-0.089482,yahoo
2020-03-01,-0.164696,yahoo
2020-04-01,0.080596,yahoo
2020-05-01,0.067287,yahoo
2020-06-01,-0.007869,yahoo
2020-07-01,0.034841,yahoo
2020-08-01,0.040146,yahoo
2020-09-01,-0.007281,yahoo
2020-10-01,-0.046479,yahoo
2020-11-01,0.103975,yahoo
2020-12-01,-0.010073,yahoo
2021-01-01,-0.05605,yahoo
2021-02-01,-0.003863,yahoo
2021-03-01,0.163495,yahoo
2021-04-01,0.069369,yahoo
2021-05-01,0.019642,yahoo
2021-06-01,-0.004052,yahoo
2021-07-01,0.058169,yahoo
2021-08-01,0.046203,yahoo
2021-09-01,-0.03707,yahoo
2021-10-01,0.072777,yahoo
2021-11-01,0.002746,yahoo
2021-12-01,0.038775,yahoo
2022-01-01,-0.098622,yahoo
2022-02-01,-0.040149,yahoo
2022-03-01,0.097645,yahoo
2022-04-01,0.037476,yahoo
2022-05-01,-0.036062,yahoo
2022-06-01,-0.034887,yahoo
2022-07-01,0.075696,yahoo
2022-08-01,0.027163,yahoo
2022-09-01,-0.05218,yahoo
2022-10-01,-0.011485,yahoo
2022-11-01,0.059039,yahoo
2022-12-01,-0.064632,yahoo
2023-01-01,-0.013705,yahoo
2023-02-01,-0.03212,yahoo
2023-03-01,0.089543,yahoo
2023-04-01,0.01765,yahoo
2023-05-01,-0.024872,yahoo
2023-06-01,0.071023,yahoo
2023-07-01,-0.05553,yahoo
2023-08-01,-0.042799,yahoo
2023-09-01,-0.027682,yahoo
2023-10-01,0.077998,yahoo
2023-11-01,0.040528,yahoo
2023-12-01,0.04743,yahoo
2024-01-01,0.03646,yahoo
2024-02-01,0.107849,yahoo
2024-03-01,0.03647,yahoo
2024-04-01,-0.024068,yahoo
2024-05-01,0.013028,yahoo
2024-06-01,0.012386,yahoo
2024-07-01,-0.050061,yahoo
2024-08-01,0.046284,yahoo
2024-09-01,-0.020939,yahoo
2024-10-01,0.03974,yahoo
2024-11-01,0.057308,yahoo
2024-12-01,-0.115809,yahoo
2025-01-01,0.091531,yahoo
2025-02-01,0.056842,yahoo
2025-03-01,-0.005456,yahoo
2025-04-01,0.007991,yahoo
2025-05-01,0.032611,yahoo
2025-06-01,-0.050421,yahoo
2025-07-01,0.001486,yahoo
2025-08-01,-0.012088,yahoo
2025-09-01,-0.024559,yahoo
2025-10-01,-0.095367,yahoo
2025-11-01,0.090604,yahoo
2025-12-01,0.008445,yahoo
2026-01-01,0.011515,yahoo
2026-02-01,0.083693,yahoo
2026-03-01,-0.045881,yahoo
2026-04-01,0.012011,yahoo
2026-05-01,-0.09069,yahoo
2026-06-01,0.054005,yahoo
2026-07-01,0.041323,yahoo
