date,monthly_return,source
2016-07-01,-0.005551,yahoo
2016-08-01,0.003155,yahoo
2016-09-01,0.070639,yahoo
2016-10-01,-0.051744,yahoo
2016-11-01,-0.012152,yahoo
2016-12-01,-0.016805,yahoo
2017-01-01,0.023307,yahoo
2017-02-01,0.026373,yahoo
2017-03-01,0.019154,yahoo
2017-04-01,0.013217,yahoo
2017-05-01,0.10564,yahoo
2017-06-01,-0.007979,yahoo
2017-07-01,0.023512,yahoo
2017-08-01,-0.002754,yahoo
2017-09-01,0.038796,yahoo
2017-10-01,0.044414,yahoo
2017-11-01,-0.001738,yahoo
2017-12-01,-0.062873,yahoo
2018-01-01,0.064901,yahoo
2018-02-01,-0.016016,yahoo
2018-03-01,-0.036162,yahoo
2018-04-01,-0.02418,yahoo
2018-05-01,0.017777,yahoo
2018-06-01,0.002977,yahoo
2018-07-01,0.051583,yahoo
2018-08-01,-0.076214,yahoo
2018-09-01,-0.042982,yahoo
2018-10-01,0.015751,yahoo
2018-11-01,0.113789,yahoo
2018-12-01,-0.047601,yahoo
2019-01-01,0.071974,yahoo
2019-02-01,0.056699,yahoo
2019-03-01,0.021102,yahoo
2019-04-01,0.049473,yahoo
2019-05-01,-0.047955,yahoo
2019-06-01,0.091396,yahoo
2019-07-01,0.019213,yahoo
2019-08-01,0.014087,yahoo
2019-09-01,-0.025256,yahoo
2019-10-01,-0.031456,yahoo
2019-11-01,0.051043,yahoo
2019-12-01,0.027998,yahoo
2020-01-01,0.046301,yahoo
2020-02-01,-0.104312,yahoo
2020-03-01,-0.10251,yahoo
2020-04-01,0.049691,yahoo
2020-05-01,0.138034,yahoo
2020-06-01,-0.029325,yahoo
2020-07-01,0.066311,yahoo
2020-08-01,-0.021332,yahoo
2020-09-01,0.016007,yahoo
2020-10-01,-0.126137,yahoo
2020-11-01,0.140892,yahoo
2020-12-01,0.01196,yahoo
2021-01-01,-0.036738,yahoo
2021-02-01,0.087218,yahoo
2021-03-01,0.037346,yahoo
2021-04-01,0.130986,yahoo
2021-05-01,0.009658,yahoo
2021-06-01,-0.119911,yahoo
2021-07-01,-0.104078,yahoo
2021-08-01,0.07104,yahoo
2021-09-01,0.05319,yahoo
2021-10-01,0.042244,yahoo
2021-11-01,-0.067855,yahoo
2021-12-01,0.051585,yahoo
2022-01-01,-0.014864,yahoo
2022-02-01,-0.049838,yahoo
2022-03-01,0.062618,yahoo
2022-04-01,-0.090424,yahoo
2022-05-01,-0.017639,yahoo
2022-06-01,-0.064813,yahoo
2022-07-01,0.048381,yahoo
2022-08-01,-0.000532,yahoo
2022-09-01,-0.028477,yahoo
2022-10-01,0.085946,yahoo
2022-11-01,0.128088,yahoo
2022-12-01,-0.006419,yahoo
2023-01-01,0.039292,yahoo
2023-02-01,-0.078013,yahoo
2023-03-01,-0.008449,yahoo
2023-04-01,-0.003357,yahoo
2023-05-01,-0.055052,yahoo
2023-06-01,0.076079,yahoo
2023-07-01,-0.102633,yahoo
2023-08-01,-0.021625,yahoo
2023-09-01,0.01064,yahoo
2023-10-01,0.128876,yahoo
2023-11-01,0.044131,yahoo
2023-12-01,-0.020706,yahoo
2024-01-01,0.021144,yahoo
2024-02-01,0.106821,yahoo
2024-03-01,0.008767,yahoo
2024-04-01,-0.086764,yahoo
2024-05-01,0.016525,yahoo
2024-06-01,0.026832,yahoo
2024-07-01,0.076829,yahoo
2024-08-01,0.034824,yahoo
2024-09-01,0.008285,yahoo
2024-10-01,0.026008,yahoo
2024-11-01,0.065555,yahoo
2024-12-01,-0.027205,yahoo
2025-01-01,0.052133,yahoo
2025-02-01,0.030585,yahoo
2025-03-01,-0.005005,yahoo
2025-04-01,-0.089214,yahoo
2025-05-01,0.028428,yahoo
2025-06-01,-0.031749,yahoo
2025-07-01,0.030375,yahoo
2025-08-01,0.034768,yahoo
2025-09-01,0.057101,yahoo
2025-10-01,-0.093646,yahoo
2025-11-01,0.025232,yahoo
2025-12-01,0.023676,yahoo
2026-01-01,-0.033871,yahoo
2026-02-01,-0.038744,yahoo
2026-03-01,-0.047416,yahoo
2026-04-01,-0.118679,yahoo
2026-05-01,-0.025488,yahoo
2026-06-01,0.046862,yahoo
2026-07-01,0.096186,yahoo
