date,monthly_return,source
2016-06-01,0.131183,yahoo
2016-07-01,-0.125475,yahoo
2016-08-01,-0.086957,yahoo
2016-09-01,-0.147619,yahoo
2016-10-01,-0.497207,yahoo
2016-11-01,0.388889,yahoo
2016-12-01,-0.024,yahoo
2017-01-01,0.053279,yahoo
2017-02-01,-0.085603,yahoo
2017-03-01,-0.11773,yahoo
2017-04-01,-0.254019,yahoo
2017-05-01,-0.137931,yahoo
2017-06-01,-0.6635,yahoo
2017-07-01,-0.132244,yahoo
2017-08-01,-0.625,yahoo
2017-09-01,0.538813,yahoo
2017-10-01,0.121662,yahoo
2017-11-01,-0.007937,yahoo
2017-12-01,-0.44,yahoo
2018-01-01,0.366667,yahoo
2018-02-01,-0.851336,yahoo
2018-03-01,-0.160156,yahoo
2018-04-01,-0.665116,yahoo
2018-05-01,-0.030556,yahoo
2018-06-01,-0.535817,yahoo
2018-07-01,-0.148148,yahoo
2018-08-01,0.036232,yahoo
2018-09-01,0.405594,yahoo
2018-10-01,-0.054726,yahoo
2018-11-01,-0.427632,yahoo
2018-12-01,-0.266667,yahoo
2019-01-01,-0.30094,yahoo
2019-02-01,-0.457399,yahoo
2019-03-01,-0.326446,yahoo
2019-04-01,-0.023313,yahoo
2019-05-01,-0.120603,yahoo
2019-06-01,-0.094286,yahoo
2019-07-01,-0.373817,yahoo
2019-08-01,-0.642317,yahoo
2019-09-01,-0.183099,yahoo
2019-10-01,-0.163793,yahoo
2019-11-01,-0.56701,yahoo
2019-12-01,1.595238,yahoo
2020-01-01,-0.406728,yahoo
2020-02-01,-0.278351,yahoo
2020-03-01,-0.433333,yahoo
2020-04-01,-0.042017,yahoo
2020-05-01,0.149123,yahoo
2020-06-01,0.045802,yahoo
2020-07-01,0.065693,yahoo
2020-08-01,-0.178082,yahoo
2020-09-01,-0.083333,yahoo
2020-10-01,-0.081818,yahoo
2020-11-01,0.09901,yahoo
2020-12-01,-0.081081,yahoo
2021-01-01,0.323529,yahoo
2021-02-01,-0.059259,yahoo
2021-03-01,-0.055118,yahoo
2021-04-01,-0.033333,yahoo
2021-05-01,-0.086207,yahoo
2021-06-01,0.103774,yahoo
2021-07-01,-0.119658,yahoo
2021-08-01,0.0,yahoo
2021-09-01,-0.192233,yahoo
2021-10-01,0.021635,yahoo
2021-11-01,-0.205882,yahoo
2021-12-01,-0.111111,yahoo
2022-01-01,-0.285,yahoo
2022-02-01,-0.195804,yahoo
2022-03-01,-0.246377,yahoo
2022-04-01,-0.115385,yahoo
2022-05-01,-0.208696,yahoo
2022-06-01,-0.065934,yahoo
2022-07-01,-0.135294,yahoo
2022-08-01,-0.061224,yahoo
2022-09-01,-0.108696,yahoo
2022-10-01,-0.657453,yahoo
2022-11-01,-0.177215,yahoo
2022-12-01,-0.346154,yahoo
2023-01-01,-0.258824,yahoo
2023-02-01,-0.055556,yahoo
2023-03-01,-0.638655,yahoo
2023-04-01,-0.116279,yahoo
2023-05-01,-0.473684,yahoo
2023-06-01,-0.105,yahoo
2023-07-01,0.206704,yahoo
2023-08-01,-0.24537,yahoo
2023-09-01,-0.312883,yahoo
2023-10-01,-0.276786,yahoo
2023-11-01,-0.222222,yahoo
2023-12-01,-0.111111,yahoo
2024-01-01,-0.035714,yahoo
2024-02-01,-0.148148,yahoo
2024-03-01,-0.625,yahoo
2024-04-01,0.478261,yahoo
2024-05-01,-0.633333,yahoo
2024-06-01,-0.527273,yahoo
2024-07-01,-0.38914,yahoo
2024-08-01,-0.218519,yahoo
2024-09-01,-0.094787,yahoo
2024-10-01,-0.696335,yahoo
2024-11-01,-0.224138,yahoo
2024-12-01,-0.044444,yahoo
2025-01-01,-0.528372,yahoo
2025-02-01,-0.433925,yahoo
2025-03-01,-0.620209,yahoo
2025-04-01,0.238532,yahoo
2025-05-01,0.244444,yahoo
2025-06-01,-0.029762,yahoo
2025-07-01,0.245399,yahoo
2025-08-01,-0.009852,yahoo
2025-09-01,-0.268657,yahoo
2025-10-01,0.183673,yahoo
2025-11-01,-0.063218,yahoo
2025-12-01,-0.239264,yahoo
2026-01-01,0.346774,yahoo
2026-02-01,0.119761,yahoo
2026-03-01,0.106952,yahoo
2026-04-01,-0.077295,yahoo
2026-05-01,-0.052356,yahoo
2026-06-01,0.0,yahoo
2026-07-01,-0.138122,yahoo
