date,value
1960-01-01,846.0
1960-02-01,868.0
1960-03-01,729.0
1960-04-01,778.0
1960-05-01,758.0
1960-06-01,749.0
1960-07-01,732.0
1960-08-01,732.0
1960-09-01,704.0
1960-10-01,711.0
1960-11-01,707.0
1960-12-01,688.0
1961-01-01,703.0
1961-02-01,673.0
1961-03-01,699.0
1961-04-01,687.0
1961-05-01,706.0
1961-06-01,716.0
1961-07-01,741.0
1961-08-01,747.0
1961-09-01,738.0
1961-10-01,766.0
1961-11-01,768.0
1961-12-01,774.0
1962-01-01,717.0
1962-02-01,741.0
1962-03-01,706.0
1962-04-01,746.0
1962-05-01,710.0
1962-06-01,704.0
1962-07-01,717.0
1962-08-01,725.0
1962-09-01,718.0
1962-10-01,690.0
1962-11-01,700.0
1962-12-01,702.0
1963-01-01,695.0
1963-02-01,699.0
1963-03-01,738.0
1963-04-01,777.0
1963-05-01,740.0
1963-06-01,771.0
1963-07-01,752.0
1963-08-01,756.0
1963-09-01,784.0
1963-10-01,771.0
1963-11-01,735.0
1963-12-01,714.0
1964-01-01,708.0
1964-02-01,820.0
1964-03-01,737.0
1964-04-01,688.0
1964-05-01,727.0
1964-06-01,710.0
1964-07-01,709.0
1964-08-01,714.0
1964-09-01,713.0
1964-10-01,705.0
1964-11-01,731.0
1964-12-01,699.0
1965-01-01,728.0
1965-02-01,687.0
1965-03-01,674.0
1965-04-01,684.0
1965-05-01,707.0
1965-06-01,696.0
1965-07-01,709.0
1965-08-01,724.0
1965-09-01,701.0
1965-10-01,749.0
1965-11-01,737.0
1965-12-01,741.0
1966-01-01,739.0
1966-02-01,631.0
1966-03-01,711.0
1966-04-01,647.0
1966-05-01,589.0
1966-06-01,574.0
1966-07-01,544.0
1966-08-01,505.0
1966-09-01,467.0
1966-10-01,446.0
1966-11-01,442.0
1966-12-01,458.0
1967-01-01,577.0
1967-02-01,564.0
1967-03-01,570.0
1967-04-01,606.0
1967-05-01,636.0
1967-06-01,673.0
1967-07-01,675.0
1967-08-01,697.0
1967-09-01,701.0
1967-10-01,707.0
1967-11-01,695.0
1967-12-01,701.0
1968-01-01,679.0
1968-02-01,711.0
1968-03-01,691.0
1968-04-01,675.0
1968-05-01,665.0
1968-06-01,654.0
1968-07-01,689.0
1968-08-01,700.0
1968-09-01,738.0
1968-10-01,717.0
1968-11-01,729.0
1968-12-01,688.0
1969-01-01,683.0
1969-02-01,707.0
1969-03-01,665.0
1969-04-01,662.0
1969-05-01,634.0
1969-06-01,642.0
1969-07-01,595.0
1969-08-01,591.0
1969-09-01,591.0
1969-10-01,589.0
1969-11-01,585.0
1969-12-01,587.0
1970-01-01,486.0
1970-02-01,558.0
1970-03-01,557.0
1970-04-01,611.0
1970-05-01,602.0
1970-06-01,623.0
1970-07-01,648.0
1970-08-01,684.0
1970-09-01,702.0
1970-10-01,717.0
1970-11-01,710.0
1970-12-01,854.0
1971-01-01,796.0
1971-02-01,776.0
1971-03-01,844.0
1971-04-01,865.0
1971-05-01,939.0
1971-06-01,923.0
1971-07-01,960.0
1971-08-01,911.0
1971-09-01,907.0
1971-10-01,918.0
1971-11-01,969.0
1971-12-01,994.0
1972-01-01,1115.0
1972-02-01,992.0
1972-03-01,1000.0
1972-04-01,1008.0
1972-05-01,961.0
1972-06-01,1018.0
1972-07-01,1027.0
1972-08-01,1074.0
1972-09-01,1050.0
1972-10-01,1150.0
1972-11-01,1033.0
1972-12-01,1034.0
1973-01-01,1108.0
1973-02-01,1074.0
1973-03-01,992.0
1973-04-01,938.0
1973-05-01,957.0
1973-06-01,932.0
1973-07-01,897.0
1973-08-01,825.0
1973-09-01,812.0
1973-10-01,689.0
1973-11-01,691.0
1973-12-01,665.0
1974-01-01,675.0
1974-02-01,727.0
1974-03-01,786.0
1974-04-01,714.0
1974-05-01,667.0
1974-06-01,657.0
1974-07-01,621.0
1974-08-01,614.0
1974-09-01,578.0
1974-10-01,560.0
1974-11-01,543.0
1974-12-01,535.0
1975-01-01,527.0
1975-02-01,528.0
1975-03-01,532.0
1975-04-01,616.0
1975-05-01,657.0
1975-06-01,671.0
1975-07-01,697.0
1975-08-01,726.0
1975-09-01,763.0
1975-10-01,786.0
1975-11-01,805.0
1975-12-01,810.0
1976-01-01,855.0
1976-02-01,865.0
1976-03-01,838.0
