date,value
2002-01-01,28318.0
2002-02-01,25977.0
2002-03-01,24998.0
2002-04-01,24482.0
2002-05-01,23862.0
2002-06-01,23200.0
2002-07-01,22090.0
2002-08-01,20837.0
2002-09-01,20168.0
2002-10-01,20908.0
2002-11-01,21004.0
2002-12-01,20384.0
2003-01-01,19703.0
2003-02-01,19817.0
2003-03-01,20772.0
2003-04-01,20655.0
2003-05-01,22157.0
2003-06-01,22542.0
2003-07-01,21492.0
2003-08-01,21551.0
2003-09-01,22422.0
2003-10-01,22846.0
2003-11-01,21988.0
2003-12-01,21445.0
2004-01-01,21333.0
2004-02-01,22321.0
2004-03-01,21786.0
2004-04-01,21525.0
2004-05-01,22258.0
2004-06-01,20654.0
2004-07-01,22141.0
2004-08-01,22661.0
2004-09-01,23397.0
2004-10-01,25548.0
2004-11-01,27631.0
2004-12-01,28235.0
2005-01-01,27658.0
2005-02-01,28136.0
2005-03-01,28759.0
2005-04-01,28032.0
2005-05-01,27179.0
2005-06-01,27671.0
2005-07-01,27689.0
2005-08-01,29207.0
2005-09-01,29359.0
2005-10-01,29492.0
2005-11-01,29791.0
2005-12-01,29877.0
2006-01-01,30231.0
2006-02-01,29424.0
2006-03-01,31325.0
2006-04-01,32307.0
2006-05-01,32184.0
2006-06-01,33318.0
2006-07-01,32535.0
2006-08-01,36248.0
2006-09-01,34674.0
2006-10-01,32721.0
2006-11-01,32686.0
2006-12-01,33088.0
2007-01-01,33765.0
2007-02-01,34876.0
2007-03-01,34401.0
2007-04-01,36201.0
2007-05-01,35682.0
2007-06-01,38032.0
2007-07-01,41246.0
2007-08-01,40845.0
2007-09-01,48459.0
2007-10-01,49616.0
2007-11-01,44624.0
2007-12-01,48293.0
2008-01-01,48688.0
2008-02-01,48550.0
2008-03-01,49005.0
2008-04-01,50433.0
2008-05-01,53107.0
2008-06-01,54745.0
2008-07-01,52970.0
2008-08-01,54884.0
2008-09-01,57161.0
2008-10-01,59197.0
2008-11-01,58739.0
2008-12-01,58850.0
2009-01-01,64403.0
2009-02-01,67038.0
2009-03-01,64842.0
2009-04-01,64279.0
2009-05-01,63751.0
2009-06-01,59897.0
2009-07-01,58244.0
2009-08-01,56118.0
2009-09-01,52833.0
2009-10-01,52513.0
2009-11-01,51349.0
2009-12-01,43060.0
2010-01-01,45540.0
2010-02-01,45685.0
2010-03-01,49495.0
2010-04-01,46406.0
2010-05-01,43685.0
2010-06-01,42717.0
2010-07-01,41220.0
2010-08-01,39610.0
2010-09-01,38217.0
2010-10-01,36890.0
2010-11-01,35195.0
2010-12-01,31638.0
2011-01-01,30632.0
2011-02-01,33266.0
2011-03-01,35282.0
2011-04-01,34697.0
2011-05-01,37489.0
2011-06-01,42435.0
2011-07-01,41532.0
2011-08-01,43769.0
2011-09-01,46301.0
2011-10-01,45354.0
2011-11-01,45782.0
2011-12-01,47524.0
2012-01-01,44470.0
2012-02-01,44955.0
2012-03-01,46219.0
2012-04-01,46995.0
2012-05-01,47170.0
2012-06-01,47615.0
2012-07-01,48281.0
2012-08-01,47882.0
2012-09-01,48949.0
2012-10-01,49355.0
2012-11-01,49048.0
2012-12-01,49943.0
2013-01-01,49919.0
2013-02-01,51348.0
2013-03-01,51151.0
2013-04-01,50295.0
2013-05-01,48701.0
2013-06-01,50185.0
2013-07-01,55930.0
2013-08-01,54929.0
2013-09-01,52449.0
2013-10-01,53003.0
2013-11-01,52965.0
2013-12-01,58489.0
2014-01-01,55799.0
2014-02-01,54342.0
2014-03-01,51678.0
2014-04-01,54347.0
2014-05-01,53669.0
2014-06-01,58899.0
2014-07-01,58226.0
2014-08-01,59770.0
2014-09-01,62103.0
2014-10-01,71312.0
2014-11-01,73732.0
2014-12-01,71623.0
2015-01-01,76734.0
2015-02-01,80278.0
2015-03-01,80873.0
2015-04-01,82950.0
2015-05-01,84416.0
2015-06-01,88781.0
2015-07-01,83204.0
2015-08-01,84409.0
2015-09-01,87399.0
2015-10-01,85483.0
2015-11-01,84173.0
2015-12-01,80037.0
2016-01-01,77896.0
2016-02-01,80033.0
2016-03-01,80883.0
2016-04-01,80792.0
2016-05-01,82046.0
2016-06-01,82943.0
2016-07-01,82419.0
2016-08-01,80772.0
2016-09-01,78026.0
2016-10-01,75555.0
2016-11-01,77386.0
2016-12-01,76513.0
2017-01-01,72991.0
2017-02-01,70057.0
2017-03-01,72260.0
2017-04-01,71506.0
2017-05-01,73857.0
2017-06-01,71187.0
2017-07-01,70775.0
2017-08-01,68311.0
2017-09-01,68975.0
2017-10-01,69316.0
2017-11-01,69901.0
2017-12-01,70259.0
2018-01-01,68937.0
2018-02-01,71904.0
2018-03-01,70005.0
2018-04-01,70296.0
2018-05-01,72039.0
2018-06-01,71996.0
2018-07-01,70662.0
2018-08-01,75139.0
2018-09-01,74819.0
2018-10-01,73806.0
2018-11-01,74022.0
2018-12-01,76850.0
2019-01-01,77237.0
2019-02-01,80999.0
2019-03-01,81372.0
2019-04-01,82057.0
2019-05-01,81392.0
2019-06-01,81813.0
2019-07-01,81803.0
2019-08-01,81473.0
2019-09-01,81672.0
2019-10-01,79498.0
2019-11-01,81758.0
2019-12-01,81030.0
2020-01-01,79492.0
2020-02-01,78023.0
2020-03-01,78369.0
2020-04-01,74089.0
2020-05-01,73394.0
2020-06-01,74956.0
2020-07-01,76034.0
2020-08-01,74305.0
2020-09-01,73451.0
2020-10-01,75113.0
2020-11-01,73596.0
2020-12-01,74784.0
2021-01-01,76407.0
2021-02-01,75896.0
2021-03-01,77935.0
2021-04-01,76696.0
2021-05-01,76435.0
2021-06-01,79323.0
2021-07-01,80888.0
2021-08-01,81435.0
2021-09-01,83013.0
2021-10-01,87210.0
2021-11-01,93539.0
2021-12-01,94605.0
2022-01-01,97878.0
2022-02-01,100267.0
2022-03-01,104096.0
2022-04-01,111586.0
2022-05-01,116068.0
2022-06-01,116675.0
2022-07-01,127042.0
2022-08-01,128104.0
2022-09-01,139493.0
2022-10-01,141436.0
2022-11-01,153107.0
2022-12-01,159231.0
2023-01-01,172097.0
2023-02-01,179099.0
2023-03-01,187446.0
2023-04-01,199222.0
2023-05-01,197639.0
2023-06-01,200828.0
2023-07-01,202064.0
2023-08-01,206423.0
2023-09-01,205054.0
2023-10-01,218795.0
2023-11-01,226885.0
2023-12-01,230263.0
2024-01-01,233759.0
2024-02-01,235216.0
2024-03-01,238676.0
2024-04-01,242376.0
2024-05-01,243306.0
2024-06-01,248899.0
2024-07-01,248230.0
2024-08-01,249757.0
2024-09-01,250233.0
2024-10-01,246526.0
2024-11-01,250089.0
2024-12-01,242048.0
2025-01-01,237485.0
2025-02-01,237155.0
2025-03-01,227339.0
2025-04-01,227640.0
2025-05-01,223805.0
2025-06-01,219564.0
2025-07-01,215594.0
2025-08-01,211142.0
2025-09-01,205019.0
2025-10-01,202687.0
2025-11-01,195150.0
2025-12-01,181798.0
2026-01-01,184187.0
2026-02-01,181879.0
2026-03-01,179814.0
2026-04-01,177023.0
2026-05-01,173641.0
2026-06-01,171476.0
2026-07-01,169795.0
