date,value
1993-01-01,113906.0
1993-02-01,119243.0
1993-03-01,119772.0
1993-04-01,126908.0
1993-05-01,121634.0
1993-06-01,129212.0
1993-07-01,129298.0
1993-08-01,130039.0
1993-09-01,131983.0
1993-10-01,126606.0
1993-11-01,132425.0
1993-12-01,137897.0
1994-01-01,126467.0
1994-02-01,124573.0
1994-03-01,125942.0
1994-04-01,123666.0
1994-05-01,125991.0
1994-06-01,131725.0
1994-07-01,133537.0
1994-08-01,133205.0
1994-09-01,132130.0
1994-10-01,135310.0
1994-11-01,131047.0
1994-12-01,135129.0
1995-01-01,132958.0
1995-02-01,130106.0
1995-03-01,135758.0
1995-04-01,137352.0
1995-05-01,139811.0
1995-06-01,142949.0
1995-07-01,137475.0
1995-08-01,144003.0
1995-09-01,142569.0
1995-10-01,143657.0
1995-11-01,143817.0
1995-12-01,140236.0
1996-01-01,147112.0
1996-02-01,138716.0
1996-03-01,140166.0
1996-04-01,148123.0
1996-05-01,152967.0
1996-06-01,144131.0
1996-07-01,147315.0
1996-08-01,144095.0
1996-09-01,149634.0
1996-10-01,150834.0
1996-11-01,151214.0
1996-12-01,144846.0
1997-01-01,144713.0
1997-02-01,150267.0
1997-03-01,153274.0
1997-04-01,152649.0
1997-05-01,153063.0
1997-06-01,154500.0
1997-07-01,156978.0
1997-08-01,155647.0
1997-09-01,153056.0
1997-10-01,157106.0
1997-11-01,152798.0
1997-12-01,154442.0
1998-01-01,149499.0
1998-02-01,147429.0
1998-03-01,147093.0
1998-04-01,150464.0
1998-05-01,146590.0
1998-06-01,158157.0
1998-07-01,160167.0
1998-08-01,155684.0
1998-09-01,159734.0
1998-10-01,158208.0
1998-11-01,156912.0
1998-12-01,160793.0
1999-01-01,159954.0
1999-02-01,167072.0
1999-03-01,167195.0
1999-04-01,167681.0
1999-05-01,164689.0
1999-06-01,166830.0
1999-07-01,169934.0
1999-08-01,168741.0
1999-09-01,168889.0
1999-10-01,170663.0
1999-11-01,177472.0
1999-12-01,185045.0
2000-01-01,184676.0
2000-02-01,176352.0
2000-03-01,187906.0
2000-04-01,183725.0
2000-05-01,178929.0
2000-06-01,175368.0
2000-07-01,171776.0
2000-08-01,183390.0
2000-09-01,185769.0
2000-10-01,185369.0
2000-11-01,183993.0
2000-12-01,185294.0
2001-01-01,188192.0
2001-02-01,189203.0
2001-03-01,197455.0
2001-04-01,201615.0
2001-05-01,206540.0
2001-06-01,205260.0
2001-07-01,204878.0
2001-08-01,203649.0
2001-09-01,198558.0
2001-10-01,206677.0
2001-11-01,207550.0
2001-12-01,209290.0
2002-01-01,217321.0
2002-02-01,219966.0
2002-03-01,206789.0
2002-04-01,208700.0
2002-05-01,215094.0
2002-06-01,209818.0
2002-07-01,213148.0
2002-08-01,212437.0
2002-09-01,212711.0
2002-10-01,214144.0
2002-11-01,214383.0
2002-12-01,221742.0
2003-01-01,219258.0
2003-02-01,216078.0
2003-03-01,208246.0
2003-04-01,211887.0
2003-05-01,213124.0
2003-06-01,218419.0
2003-07-01,217640.0
2003-08-01,220213.0
2003-09-01,219205.0
2003-10-01,222735.0
2003-11-01,214612.0
2003-12-01,212946.0
2004-01-01,212536.0
2004-02-01,210322.0
2004-03-01,221222.0
2004-04-01,221765.0
2004-05-01,218891.0
2004-06-01,222773.0
2004-07-01,224037.0
2004-08-01,220820.0
2004-09-01,218907.0
2004-10-01,218000.0
2004-11-01,225573.0
2004-12-01,224471.0
2005-01-01,220274.0
2005-02-01,226618.0
2005-03-01,228202.0
2005-04-01,228516.0
2005-05-01,234195.0
2005-06-01,236913.0
2005-07-01,236450.0
2005-08-01,237852.0
2005-09-01,237879.0
2005-10-01,236787.0
2005-11-01,237341.0
2005-12-01,241758.0
2006-01-01,242619.0
2006-02-01,246794.0
2006-03-01,251494.0
2006-04-01,255257.0
2006-05-01,253839.0
2006-06-01,257741.0
2006-07-01,258037.0
2006-08-01,254884.0
2006-09-01,254781.0
2006-10-01,256903.0
2006-11-01,260614.0
2006-12-01,270232.0
2007-01-01,280098.0
2007-02-01,275052.0
2007-03-01,278405.0
2007-04-01,281745.0
2007-05-01,289401.0
2007-06-01,288080.0
2007-07-01,288841.0
2007-08-01,293431.0
2007-09-01,297339.0
2007-10-01,295943.0
2007-11-01,298893.0
2007-12-01,296694.0
2008-01-01,294251.0
2008-02-01,299323.0
2008-03-01,306539.0
2008-04-01,304512.0
2008-05-01,305320.0
2008-06-01,307558.0
2008-07-01,310609.0
2008-08-01,313684.0
2008-09-01,308559.0
2008-10-01,314332.0
2008-11-01,316897.0
2008-12-01,311957.0
2009-01-01,309552.0
2009-02-01,321367.0
2009-03-01,325481.0
2009-04-01,318896.0
2009-05-01,317075.0
2009-06-01,320961.0
2009-07-01,322593.0
2009-08-01,314453.0
2009-09-01,310870.0
2009-10-01,307866.0
2009-11-01,302635.0
2009-12-01,300330.0
2010-01-01,298296.0
2010-02-01,292195.0
2010-03-01,300311.0
2010-04-01,307905.0
2010-05-01,306066.0
2010-06-01,307056.0
2010-07-01,302457.0
2010-08-01,308148.0
2010-09-01,316474.0
2010-10-01,307128.0
2010-11-01,301529.0
2010-12-01,292968.0
2011-01-01,293706.0
2011-02-01,288693.0
2011-03-01,290393.0
2011-04-01,284917.0
2011-05-01,282865.0
2011-06-01,284369.0
2011-07-01,279864.0
2011-08-01,287691.0
2011-09-01,289537.0
2011-10-01,284575.0
2011-11-01,286995.0
2011-12-01,289373.0
2012-01-01,284790.0
2012-02-01,282754.0
2012-03-01,279952.0
2012-04-01,278772.0
2012-05-01,281548.0
2012-06-01,285755.0
2012-07-01,280813.0
2012-08-01,280699.0
2012-09-01,274961.0
2012-10-01,274834.0
2012-11-01,274113.0
2012-12-01,268128.0
2013-01-01,266184.0
2013-02-01,272082.0
2013-03-01,262177.0
2013-04-01,270003.0
