date,value
2025-06-04,0.17
2025-06-05,0.54
2025-06-06,1.25
2025-06-09,0.52
2025-06-10,0.41
2025-06-11,-0.95
2025-06-12,-1.49
2025-06-13,-1.33
2025-06-16,-0.42
2025-06-17,-0.8
2025-06-18,-0.66
2025-06-20,-0.63
2025-06-23,-1.16
2025-06-24,-1.04
2025-06-25,-0.84
2025-06-26,-0.62
2025-06-27,-0.69
2025-06-30,-0.55
2025-07-01,-0.7
2025-07-02,-0.66
2025-07-03,-0.5
2025-07-07,0.31
2025-07-08,0.36
2025-07-09,-0.54
2025-07-10,-0.4
2025-07-11,0.09
2025-07-14,0.53
2025-07-15,1.03
2025-07-16,0.84
2025-07-17,0.32
2025-07-18,0.74
2025-07-21,0.41
2025-07-22,0.11
2025-07-23,0.38
2025-07-24,0.59
2025-07-25,0.24
2025-07-28,0.47
2025-07-29,-0.24
2025-07-30,0.09
2025-07-31,0.47
2025-08-01,-0.71
2025-08-04,-0.85
2025-08-05,-1.24
2025-08-06,-1.26
2025-08-07,-0.96
2025-08-08,-0.5
2025-08-11,-1.15
2025-08-12,-1.12
2025-08-13,-1.46
2025-08-14,-1.48
2025-08-15,-1.13
2025-08-18,-0.97
2025-08-19,-0.89
2025-08-20,-0.91
2025-08-21,-0.92
2025-08-22,-0.93
2025-08-25,-0.6
2025-08-26,-0.6
2025-08-27,0.09
2025-08-28,-0.18
2025-08-29,-0.04
2025-09-02,1.04
2025-09-03,0.56
2025-09-04,0.27
2025-09-05,-0.46
2025-09-08,-0.82
2025-09-09,-1.08
2025-09-10,-1.15
2025-09-11,-1.51
2025-09-12,-1.15
2025-09-15,-1.27
2025-09-16,-1.46
2025-09-17,-1.49
2025-09-18,-0.87
2025-09-19,-0.67
2025-09-22,-0.57
2025-09-23,-0.86
2025-09-24,-0.66
2025-09-25,-0.91
2025-09-26,-0.94
2025-09-29,-0.99
2025-09-30,-1.11
2025-10-01,-1.55
2025-10-02,-1.42
2025-10-03,-0.98
2025-10-06,-0.03
2025-10-07,0.02
2025-10-08,-0.07
2025-10-09,0.06
2025-10-10,-0.58
2025-10-13,-0.38
2025-10-14,-0.57
2025-10-15,-0.26
2025-10-16,-0.99
2025-10-17,-0.96
2025-10-20,-1.18
2025-10-21,-1.65
2025-10-22,-1.57
2025-10-23,-1.5
2025-10-24,-1.3
2025-10-27,-1.28
2025-10-28,-1.23
2025-10-29,-1.02
2025-10-30,-0.35
2025-10-31,0.25
2025-11-03,0.05
2025-11-04,-0.42
2025-11-05,0.27
2025-11-06,-0.19
2025-11-07,0.19
2025-11-10,1.33
2025-11-11,0.76
2025-11-12,0.88
2025-11-13,0.64
2025-11-14,1.57
2025-11-17,0.9
2025-11-18,0.98
2025-11-19,1.18
2025-11-20,1.18
2025-11-21,0.82
2025-11-24,0.6
2025-11-25,0.59
2025-11-26,0.46
2025-11-28,0.42
2025-12-01,0.33
2025-12-02,0.06
2025-12-03,0.11
2025-12-04,0.49
2025-12-05,0.19
2025-12-08,0.63
2025-12-09,0.36
2025-12-10,-0.05
2025-12-11,0.37
2025-12-12,0.89
2025-12-15,0.74
2025-12-16,0.28
2025-12-17,0.49
2025-12-18,0.4
2025-12-19,0.49
2025-12-22,0.79
2025-12-23,0.78
2025-12-24,0.7
2025-12-26,0.59
2025-12-29,0.73
2025-12-30,0.73
2025-12-31,0.79
2026-01-02,0.75
2026-01-05,0.87
2026-01-06,0.64
2026-01-07,0.44
2026-01-08,0.84
2026-01-09,0.54
2026-01-12,0.83
2026-01-13,0.48
2026-01-14,-0.2
2026-01-15,-0.0
2026-01-16,0.52
2026-01-20,0.88
2026-01-21,0.68
2026-01-22,0.44
2026-01-23,0.22
2026-01-26,0.21
2026-01-27,0.51
2026-01-28,0.54
2026-01-29,0.6
2026-01-30,0.59
2026-02-02,0.29
2026-02-03,0.11
2026-02-04,0.13
2026-02-05,-0.48
2026-02-06,-0.1
2026-02-09,-0.31
2026-02-10,-0.36
2026-02-11,-0.43
2026-02-12,-0.73
2026-02-13,-0.74
2026-02-17,-1.01
2026-02-18,-1.14
2026-02-19,-1.55
2026-02-20,-1.08
2026-02-23,-1.23
2026-02-24,-1.16
2026-02-25,-0.97
2026-02-26,-1.22
2026-02-27,-1.33
2026-03-02,-1.14
2026-03-03,-1.5
2026-03-04,-1.28
2026-03-05,-1.17
2026-03-06,-1.33
2026-03-09,-0.74
2026-03-10,-0.5
2026-03-11,-0.04
2026-03-12,0.19
2026-03-13,0.27
2026-03-16,0.62
2026-03-17,0.77
2026-03-18,0.93
2026-03-19,0.61
2026-03-20,0.93
2026-03-23,0.79
2026-03-24,0.91
2026-03-25,0.92
2026-03-26,0.91
2026-03-27,1.04
2026-03-30,0.65
2026-03-31,0.84
2026-04-01,1.06
2026-04-02,0.62
2026-04-06,0.95
2026-04-07,1.03
2026-04-08,1.23
2026-04-09,0.82
2026-04-10,0.09
2026-04-13,0.18
2026-04-14,-0.03
2026-04-15,0.12
2026-04-16,0.56
2026-04-17,0.35
2026-04-20,0.39
2026-04-21,0.21
2026-04-22,0.17
2026-04-23,0.43
2026-04-24,0.53
2026-04-27,0.71
2026-04-28,0.54
2026-04-29,1.29
2026-04-30,1.16
2026-05-01,0.92
2026-05-04,1.1
2026-05-05,0.55
2026-05-06,0.44
2026-05-07,0.27
2026-05-08,0.09
2026-05-11,0.27
2026-05-12,0.48
2026-05-13,0.5
2026-05-14,0.51
2026-05-15,0.33
2026-05-18,0.79
2026-05-19,1.12
