date,value
1965-01-01,32.3
1965-02-01,32.4
1965-03-01,32.4
1965-04-01,32.4
1965-05-01,32.4
1965-06-01,32.4
1965-07-01,32.5
1965-08-01,32.6
1965-09-01,32.6
1965-10-01,32.7
1965-11-01,32.7
1965-12-01,32.7
1966-01-01,32.8
1966-02-01,32.8
1966-03-01,32.9
1966-04-01,33.0
1966-05-01,32.9
1966-06-01,32.9
1966-07-01,33.0
1966-08-01,33.1
1966-09-01,33.3
1966-10-01,33.3
1966-11-01,33.4
1966-12-01,33.4
1967-01-01,33.4
1967-02-01,33.4
1967-03-01,33.4
1967-04-01,33.5
1967-05-01,33.6
1967-06-01,33.6
1967-07-01,33.7
1967-08-01,33.8
1967-09-01,33.9
1967-10-01,34.2
1967-11-01,34.3
1967-12-01,34.5
1968-01-01,34.8
1968-02-01,34.9
1968-03-01,34.9
1968-04-01,35.1
1968-05-01,35.1
1968-06-01,35.2
1968-07-01,35.4
1968-08-01,35.6
1968-09-01,35.6
1968-10-01,35.7
1968-11-01,35.9
1968-12-01,35.9
1969-01-01,36.3
1969-02-01,36.3
1969-03-01,36.5
1969-04-01,36.5
1969-05-01,36.5
1969-06-01,36.6
1969-07-01,36.8
1969-08-01,36.8
1969-09-01,37.1
1969-10-01,37.3
1969-11-01,37.3
1969-12-01,37.3
1970-01-01,38.3
1970-02-01,38.5
1970-03-01,38.6
1970-04-01,38.8
1970-05-01,38.9
1970-06-01,38.9
1970-07-01,39.1
1970-08-01,39.1
1970-09-01,39.3
1970-10-01,39.4
1970-11-01,39.5
1970-12-01,39.4
1971-01-01,39.9
1971-02-01,40.0
1971-03-01,40.1
1971-04-01,40.4
1971-05-01,40.7
1971-06-01,40.7
1971-07-01,40.9
1971-08-01,41.4
1971-09-01,41.5
1971-10-01,41.5
1971-11-01,41.5
1971-12-01,41.5
1972-01-01,41.4
1972-02-01,41.4
1972-03-01,41.5
1972-04-01,41.5
1972-05-01,41.6
1972-06-01,41.6
1972-07-01,41.7
1972-08-01,41.7
1972-09-01,41.8
1972-10-01,42.0
1972-11-01,42.0
1972-12-01,42.0
1973-01-01,42.3
1973-02-01,42.6
